packet_index,symbol_index,gt_bin,savaux_bin,nus_null_bin,savaux_correct,nus_null_correct,changed,fix,break,activated,sensed_delta_bin,sensed_stability,alternative_bin,savaux_glrt,alternative_glrt,savaux_nullability,alternative_nullability,dataset,snr_db,seed,echo_delay_samples
3,6,89,81,81,0,0,0,0,0,1,-8,11.105792491480392,89,0.1835299402626742,0.12369305731437766,0.5230469115201903,0.5184933135786134,0_0_0_10_14_16,-24.0,43,32
3,7,713,713,713,1,1,0,0,0,1,-8,11.105792491480392,721,0.19404797663285106,0.0031847208879344866,0.5256700671073061,0.5230468626862969,0_0_0_10_14_16,-24.0,43,32
3,8,865,865,865,1,1,0,0,0,1,-8,11.105792491480392,873,0.21010404905705085,0.01505791060841847,0.5126165549954868,0.5062530484237145,0_0_0_10_14_16,-24.0,43,32
3,9,492,492,492,1,1,0,0,0,1,-8,11.105792491480392,500,0.11829375638578897,0.028182854247318888,0.5039385924873511,0.49850026538071635,0_0_0_10_14_16,-24.0,43,32
3,10,765,765,765,1,1,0,0,0,1,-8,11.105792491480392,773,0.12568238450514427,0.004324696470076247,0.49453720657165595,0.4936175599558388,0_0_0_10_14_16,-24.0,43,32
3,11,1023,1015,1015,0,0,0,0,0,1,-8,11.105792491480392,1023,0.1559018551581503,0.10618956850351592,0.4968754637353091,0.4940609415771223,0_0_0_10_14_16,-24.0,43,32
3,12,597,597,597,1,1,0,0,0,1,-8,11.105792491480392,605,0.11308964604798268,0.021621436760165678,0.5209795328613301,0.5156726285813555,0_0_0_10_14_16,-24.0,43,32
3,13,562,562,562,1,1,0,0,0,1,-8,11.105792491480392,570,0.10396453889716473,0.006272353586695779,0.5206652619186204,0.5244436040903206,0_0_0_10_14_16,-24.0,43,32
3,14,478,470,478,0,1,1,1,0,1,-8,11.105792491480392,478,0.13842559878331828,0.14648653198203387,0.5203942117615519,0.514926531914235,0_0_0_10_14_16,-24.0,43,32
3,15,267,267,267,1,1,0,0,0,1,-8,11.105792491480392,275,0.09972382357716433,0.011113842244404731,0.49466838903820576,0.49818663116029116,0_0_0_10_14_16,-24.0,43,32
3,16,917,917,917,1,1,0,0,0,1,-8,11.105792491480392,925,0.13918961148144945,0.011311567531165074,0.49938339528957343,0.5050511528288352,0_0_0_10_14_16,-24.0,43,32
3,17,656,219,219,0,0,0,0,0,1,-8,9.514534467017752,227,0.07701928571134838,0.00034427313240640927,0.5171189534291457,0.5110346849526107,0_0_0_10_14_16,-24.0,43,32
3,18,889,889,889,1,1,0,0,0,1,-8,9.514534467017752,897,0.11599125081555402,0.006489812976177348,0.4959526044719446,0.4937468180020137,0_0_0_10_14_16,-24.0,43,32
3,19,510,510,510,1,1,0,0,0,1,-8,9.514534467017752,518,0.1067575892854296,0.009627700787505567,0.49427907285239253,0.49368997794979746,0_0_0_10_14_16,-24.0,43,32
3,20,860,860,860,1,1,0,0,0,1,-8,9.514534467017752,868,0.09393033399489799,0.00933478475629908,0.5164039931256337,0.5102366712249385,0_0_0_10_14_16,-24.0,43,32
3,21,553,553,553,1,1,0,0,0,1,-8,9.514534467017752,561,0.1803928713228303,0.021054807456436297,0.5145162505505466,0.5200661786153581,0_0_0_10_14_16,-24.0,43,32
3,22,629,621,629,0,1,1,1,0,1,-8,9.514534467017752,629,0.07933106154180064,0.10240719774099677,0.5031915460149945,0.4979285176433015,0_0_0_10_14_16,-24.0,43,32
3,23,759,759,759,1,1,0,0,0,1,-8,9.514534467017752,767,0.05231897439390374,0.017959050284702786,0.49687548037406915,0.4940609226366458,0_0_0_10_14_16,-24.0,43,32
3,24,874,874,874,1,1,0,0,0,1,-8,9.514534467017752,882,0.0853111226149639,0.0009183121021057731,0.5054713111021503,0.499726180523505,0_0_0_10_14_16,-24.0,43,32
3,25,720,720,720,1,1,0,0,0,1,-8,9.514534467017752,728,0.16840509621253502,0.014061850086756374,0.5234899263813441,0.5191498114683207,0_0_0_10_14_16,-24.0,43,32
3,26,314,314,314,1,1,0,0,0,1,-8,9.514534467017752,322,0.08524125505997326,0.022318930960561922,0.524443520468808,0.5261123442906313,0_0_0_10_14_16,-24.0,43,32
3,27,602,602,602,1,1,0,0,0,1,-8,9.514534467017752,610,0.04851789207637629,0.0035316577811914975,0.5178159067064343,0.5118285809782452,0_0_0_10_14_16,-24.0,43,32
