dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_selected_offset_coherence,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_32,-15.0,7,0.12653061224489795,0.873469387755102,0.8571428571428571,0.05306122448979592,0.946938775510204,0.8571428571428571,0.028571428571428574,0.9714285714285714,0.8571428571428571,0.09795918367346937,0.0,0.02448979591836735,0.0,0.746938775510204,0.0,0.8241758241758241,0.9778465653325881,0.9309565641149552,0.4035742452728015
0_0_0_10_14_32,-16.0,7,0.1346938775510204,0.8653061224489795,0.8571428571428571,0.07755102040816327,0.9224489795918368,0.8571428571428571,0.05306122448979592,0.946938775510204,0.8571428571428571,0.0816326530612245,0.0,0.024489795918367342,0.0,0.7551020408163266,0.0,0.7999999999999999,0.9705284383517584,0.9120560401148035,0.41365325736149405
0_0_0_10_14_32,-17.0,7,0.15102040816326529,0.8489795918367348,0.5714285714285714,0.09387755102040816,0.9061224489795919,0.8571428571428571,0.08163265306122448,0.9183673469387755,0.8571428571428571,0.0693877551020408,0.2857142857142857,0.012244897959183682,0.0,0.7387755102040817,0.0,0.7815126050420168,0.9654796158273989,0.8892819610268639,0.41201358315304304
0_0_0_10_14_32,-18.0,7,0.18367346938775506,0.8163265306122449,0.0,0.1142857142857143,0.8857142857142858,0.8571428571428571,0.08979591836734693,0.9102040816326531,0.8571428571428571,0.09387755102040812,0.8571428571428571,0.024489795918367363,0.0,0.7428571428571429,0.0,0.7795918367346939,0.962209039610609,0.8937636270590575,0.4242066782482055
0_0_0_10_14_32,-19.0,7,0.2653061224489796,0.7346938775510203,0.0,0.11836734693877551,0.8816326530612244,0.8571428571428571,0.10612244897959185,0.8938775510204081,0.8571428571428571,0.15918367346938778,0.8571428571428571,0.012244897959183668,0.0,0.7183673469387755,0.0,0.9142857142857144,0.957864592648006,0.8404831927367528,0.4438823187922442
0_0_0_10_14_32,-20.0,7,0.3959183673469387,0.6040816326530614,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.12244897959183673,0.8775510204081632,0.8571428571428571,0.273469387755102,0.8571428571428571,0.020408163265306117,0.1428571428571428,0.6408163265306123,0.0,0.889795918367347,0.9511236551960038,0.8403390725006654,0.4443701466102844
0_0_0_10_14_32,-21.0,7,0.5428571428571428,0.4571428571428572,0.0,0.15918367346938772,0.8408163265306123,0.42857142857142855,0.13061224489795917,0.8693877551020408,0.7142857142857143,0.4122448979591836,0.7142857142857143,0.028571428571428553,0.28571428571428575,0.5428571428571429,0.0,0.8612244897959184,0.9433099569200001,0.8460414398248387,0.44483931779535896
0_0_0_10_14_32,-22.0,7,0.673469387755102,0.32653061224489793,0.0,0.24489795918367346,0.7551020408163266,0.0,0.15510204081632648,0.8448979591836735,0.42857142857142855,0.5183673469387755,0.42857142857142855,0.08979591836734699,0.42857142857142855,0.36326530612244895,0.0,0.8450606329488316,0.9332379457537365,0.8069949626532552,0.5157338487085869
0_0_0_10_14_32,-23.0,7,0.7755102040816327,0.22448979591836737,0.0,0.34285714285714286,0.6571428571428573,0.0,0.2489795918367347,0.7510204081632653,0.0,0.526530612244898,0.0,0.09387755102040815,0.0,0.22040816326530613,0.0,0.7687861764216445,0.9117919394448005,0.7539915276035618,0.5125013105921692
0_0_0_10_14_32,-24.0,7,0.8530612244897959,0.14693877551020407,0.0,0.5142857142857143,0.48571428571428577,0.0,0.33061224489795915,0.6693877551020408,0.0,0.5224489795918368,0.0,0.1836734693877552,0.0,0.1346938775510204,0.0,0.6828078901811621,0.8974652329967963,0.8932739532345518,0.47962043037323393
