dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,selected_raw_bin,savaux_top1_raw_bin,gt_symbol,selected_symbol,savaux_top1_symbol,selected_energy,gt_energy,delta_energy_selected_minus_gt,selected_coherence,gt_coherence,delta_coherence_selected_minus_gt,selected_rank,gt_rank,delta_rank_selected_minus_gt,selected_phase_local,gt_phase_local,delta_phase_local_selected_minus_gt,selected_local_score,gt_local_score,delta_local_score_selected_minus_gt,selected_transition_penalty,gt_transition_penalty,delta_transition_penalty_selected_minus_gt,top1_margin_db,top1_peak_to_median_db,top1_coherence_score,candidate_count,gt_rank_position,selected_rank_position,hard_anchor,high_confidence,pre_hard_anchor_count,hard_anchor_rmse_pi
0_0_0_10_14_16,-26.0,42,5,29,610,144,144,609,143,143,1.0,0.5634706366373649,0.43652936336263515,0.9449095814816797,0.7128533236222357,0.23205625785944395,1.0,0.0,1.0,0.0,0.0,0.0,0.8889819162963359,0.5370001103706026,0.35198180592573336,0.040629115522415916,0.05844078672133102,-0.0178116711989151,1.7333790429945344,12.484324820384103,0.9449095814816797,4,4,1,0,1,4,0.41464701669611376
0_0_0_10_14_16,-26.0,42,5,30,823,284,284,822,283,283,1.0,0.785059922489049,0.214940077510951,0.9000582344894164,0.8445953288701854,0.05546290561923095,1.0,0.7333333333333334,0.2666666666666666,0.0,0.0,0.0,0.8800116468978832,0.7184610115163714,0.16155063538151182,0.023314679694148105,0.062641267021034,-0.03932658732688589,0.021167025719347286,10.005648978719412,0.9000582344894164,16,5,1,0,0,4,0.41464701669611376
0_0_0_10_14_16,-26.0,42,5,31,913,720,720,912,719,719,1.0,0.9369719597989542,0.0630280402010458,0.9138168144897814,0.9458483070573229,-0.032031492567541564,1.0,0.9333333333333333,0.06666666666666665,0.0,0.0,0.0,0.8827633628979562,0.8450500332707326,0.037713329627223624,0.030162333164942375,0.009744372798912476,0.0204179603660299,0.28273405789704403,9.473932725380664,0.9138168144897814,16,2,1,0,0,4,0.41464701669611376
0_0_0_10_14_16,-26.0,42,5,33,581,277,277,580,276,276,1.0,0.7273603095532014,0.2726396904467986,0.9797297373617518,0.8257990258524619,0.15393071150928994,1.0,0.8,0.19999999999999996,0.0,0.0,0.0,0.8959459474723503,0.6743120218577334,0.22163392561461692,0.004888629300238804,0.013722307888187318,-0.008833678587948514,0.8995633251793228,11.438690578466936,0.9797297373617518,16,4,1,0,0,4,0.41464701669611376
0_0_0_10_14_16,-26.0,42,6,11,1023,912,912,1022,911,911,1.0,0.6995039193347187,0.30049608066528133,0.949256120403094,0.7545086632534829,0.19474745714961117,1.0,0.8666666666666667,0.1333333333333333,0.22646836993038197,0.8557531941586864,-0.6292848242283045,0.9260861632694799,0.7774749872503894,0.14861117601909046,0.04540001427423479,0.005121594233876795,0.040278420040358,1.0284779070142518,9.997888333324667,0.949256120403094,16,3,1,0,0,5,0.06641551479698495
0_0_0_10_14_16,-26.0,42,6,23,759,718,859,758,717,858,0.8626783720817502,0.7517860863084411,0.11089228577330912,0.8966819236083461,0.765022749945224,0.13165917366312208,0.8,0.6666666666666667,0.1333333333333333,0.9788544617240685,0.9985002187065724,-0.019645756982503815,0.9398279590547454,0.8390148453980051,0.10081311365674028,0.001920247808933137,0.001711832784223437,0.0002084150247097,0.38569862634338475,10.281585216386953,0.9781800729239376,16,6,4,0,0,5,0.06641551479698495
0_0_0_10_14_16,-26.0,42,6,26,314,223,223,313,222,222,1.0,0.5819285951444545,0.4180714048555455,0.8765030737161145,0.8260522792857173,0.05045079443039713,1.0,0.5333333333333333,0.4666666666666667,0.7501760839006041,0.9994533372676029,-0.2492772533669988,0.9953287881673195,0.732473006421078,0.26285578174624147,0.010405898490194536,0.0019745754864329704,0.008431323003761565,0.6364888448601286,11.072245632374669,0.8765030737161145,16,8,1,0,0,5,0.06641551479698495
0_0_0_10_14_16,-26.0,42,6,33,584,152,998,583,151,997,0.8738763159900842,0.7749692785392743,0.09890703745080986,0.9570506367691932,0.9084801932754263,0.048570443493766935,0.9333333333333333,0.6666666666666667,0.2666666666666666,0.8979421765108075,0.9863670309202696,-0.08842485440946202,0.9467942967886268,0.8819932585798205,0.06480103820880634,0.008711394040174717,0.0078010999121667195,0.0009102941280079973,0.5855003084857271,9.933956082729239,0.9378894176994222,16,6,2,0,0,5,0.06641551479698495
0_0_0_10_14_16,-26.0,42,8,2,922,172,908,921,171,907,0.978944397994367,0.896784422999928,0.08215997499443906,0.8958380300122804,0.9245489629986828,-0.028710932986402482,0.8666666666666667,0.8,0.06666666666666665,0.9846731372319519,0.9651216444252916,0.019551492806660353,1.0219763865556253,0.9670783518077328,0.054898034747892455,0.035112179976408496,0.03358079227407154,0.0015313877023369546,0.01931405624961723,10.000522037018367,0.9226189408195611,16,4,3,0,0,5,0.34282809703293915
0_0_0_10_14_16,-26.0,42,8,3,691,470,470,690,469,469,1.0,0.5028578178416366,0.49714218215836337,0.9946453855229342,0.9089099025683145,0.08573548295461975,1.0,0.4666666666666667,0.5333333333333333,0.012511891799937142,0.9364612873003226,-0.9239493955003855,0.9009309797925767,0.6836162589708602,0.21731472082171654,0.06298783322828212,0.0009244022862642915,0.06206343094201783,0.17767625256599318,11.243175902223662,0.9946453855229342,16,9,1,0,0,5,0.34282809703293915
0_0_0_10_14_16,-26.0,42,8,12,597,334,334,596,333,333,1.0,0.663617700141258,0.336382299858742,0.9301424124031268,0.875552215826756,0.054590196576370764,1.0,0.6,0.4,0.04601168486297602,0.9481462387238259,-0.9021345538608498,0.8933903520587014,0.7913462314600439,0.10204412059865753,0.04228814365167742,0.0010533355235003321,0.04123480812817709,0.6863060225288329,10.721541048131979,0.9301424124031268,16,7,1,0,0,5,0.34282809703293915
0_0_0_10_14_16,-26.0,42,8,14,478,532,532,477,531,531,1.0,0.5638628937377583,0.43613710626224167,0.9022888950526831,0.9376082630837417,-0.03531936803105862,1.0,0.19999999999999996,0.8,0.6517989861412956,0.9919693892473124,-0.34017040310601676,0.9847456167931439,0.7409407805127491,0.24380483628039473,2.741825315875099e-05,0.004047207925726612,-0.004019789672567861,0.5346511312500575,11.24972813999924,0.9022888950526831,16,13,1,0,0,5,0.34282809703293915
