dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,savaux_top1_raw_bin,phase_line_raw_bin,gt_symbol,savaux_top1_symbol,phase_line_symbol,gt_in_topk_raw,topk_size,raw_category,symbol_category
0_0_0_10_14_16,-26.0,42,5,5,468,194,194,467,193,193,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,5,6,89,296,296,88,295,295,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,5,7,713,713,713,712,712,712,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,8,865,865,865,864,864,864,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,10,765,225,613,764,224,612,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,5,11,1023,1023,1023,1022,1022,1022,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,12,597,228,597,596,227,596,1,40,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue
0_0_0_10_14_16,-26.0,42,5,13,562,562,562,561,561,561,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,14,478,478,478,477,477,477,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,15,267,267,267,266,266,266,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,17,656,656,656,655,655,655,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,18,889,889,889,888,888,888,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,19,510,261,214,509,260,213,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,5,20,860,860,860,859,859,859,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,21,553,553,553,552,552,552,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,22,629,629,629,628,628,628,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,23,759,601,601,758,600,600,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,5,24,874,473,680,873,472,679,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,5,25,720,720,720,719,719,719,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,26,314,314,314,313,313,313,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,27,602,602,602,601,601,601,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,5,28,7,663,368,6,662,367,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,5,29,610,144,144,609,143,143,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,5,30,823,284,284,822,283,283,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,5,31,913,720,913,912,719,912,1,40,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue
0_0_0_10_14_16,-26.0,42,5,32,741,793,793,740,792,792,0,40,D_gt_not_in_topk_unrescuable,D_gt_not_in_topk_unrescuable
0_0_0_10_14_16,-26.0,42,5,33,581,277,277,580,276,276,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,5,34,91,102,102,90,101,101,0,40,D_gt_not_in_topk_unrescuable,D_gt_not_in_topk_unrescuable
0_0_0_10_14_16,-26.0,42,6,0,803,803,803,802,802,802,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,1,826,1020,1020,825,1019,1019,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,6,2,871,220,220,870,219,219,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,6,3,718,718,718,717,717,717,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,4,107,886,235,106,885,234,0,40,D_gt_not_in_topk_unrescuable,D_gt_not_in_topk_unrescuable
0_0_0_10_14_16,-26.0,42,6,5,468,468,468,467,467,467,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,6,89,417,89,88,416,88,1,40,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue
0_0_0_10_14_16,-26.0,42,6,7,713,713,713,712,712,712,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,8,865,753,753,864,752,752,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,6,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,10,765,679,765,764,678,764,1,40,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue
0_0_0_10_14_16,-26.0,42,6,11,1023,912,912,1022,911,911,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,6,12,597,597,597,596,596,596,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,13,562,330,330,561,329,329,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,6,14,478,478,478,477,477,477,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,15,267,267,267,266,266,266,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,17,656,656,656,655,655,655,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,18,889,725,725,888,724,724,0,40,D_gt_not_in_topk_unrescuable,D_gt_not_in_topk_unrescuable
0_0_0_10_14_16,-26.0,42,6,19,510,510,510,509,509,509,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,20,860,860,860,859,859,859,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,21,553,553,553,552,552,552,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,22,629,629,629,628,628,628,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,23,759,859,859,758,858,858,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,6,24,874,874,874,873,873,873,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,25,720,720,720,719,719,719,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,26,314,223,223,313,222,222,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,6,27,602,602,602,601,601,601,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,28,7,306,306,6,305,305,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,6,29,610,610,610,609,609,609,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,30,791,791,791,790,790,790,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,31,928,928,928,927,927,927,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,32,760,760,760,759,759,759,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,6,33,584,998,998,583,997,997,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,6,34,932,932,813,931,931,812,1,40,C_savaux_ok_phase_break,C_savaux_ok_phase_break
0_0_0_10_14_16,-26.0,42,8,0,803,803,803,802,802,802,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,1,711,711,711,710,710,710,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,2,922,908,172,921,907,171,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,3,691,470,470,690,469,469,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,4,86,86,86,85,85,85,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,5,468,793,468,467,792,467,1,40,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue
0_0_0_10_14_16,-26.0,42,8,6,89,89,89,88,88,88,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,7,713,945,945,712,944,944,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,8,865,865,865,864,864,864,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,10,765,765,765,764,764,764,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,11,1023,1023,1023,1022,1022,1022,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,12,597,334,334,596,333,333,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,13,562,628,628,561,627,627,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,14,478,532,532,477,531,531,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,15,267,481,481,266,480,480,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,17,656,169,169,655,168,168,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,18,889,889,889,888,888,888,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,19,510,510,510,509,509,509,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,20,860,860,860,859,859,859,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,21,553,767,767,552,766,766,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,22,629,566,566,628,565,565,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,23,759,759,759,758,758,758,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,24,874,332,332,873,331,331,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,25,720,720,720,719,719,719,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,26,314,207,207,313,206,206,0,40,D_gt_not_in_topk_unrescuable,D_gt_not_in_topk_unrescuable
0_0_0_10_14_16,-26.0,42,8,27,602,598,598,601,597,597,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,8,28,7,7,7,6,6,6,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,29,610,610,610,609,609,609,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,30,775,775,775,774,774,774,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,31,920,920,920,919,919,919,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,32,753,753,753,752,752,752,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,33,586,586,586,585,585,585,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,8,34,91,91,91,90,90,90,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,0,222,222,222,221,221,221,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,1,826,826,826,825,825,825,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,2,922,922,922,921,921,921,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,3,691,380,691,690,379,690,1,40,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue
0_0_0_10_14_16,-26.0,42,9,4,86,86,86,85,85,85,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,5,468,468,468,467,467,467,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,6,89,89,89,88,88,88,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,7,713,713,713,712,712,712,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,8,865,865,865,864,864,864,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,10,765,765,765,764,764,764,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,11,1023,41,41,1022,40,40,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,9,12,597,895,895,596,894,894,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,9,13,562,562,562,561,561,561,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,14,478,478,478,477,477,477,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,15,267,267,267,266,266,266,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,17,656,612,612,655,611,611,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,9,18,889,111,111,888,110,110,0,40,D_gt_not_in_topk_unrescuable,D_gt_not_in_topk_unrescuable
0_0_0_10_14_16,-26.0,42,9,19,510,510,510,509,509,509,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,20,860,474,678,859,473,677,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,9,21,553,553,553,552,552,552,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,22,629,961,301,628,960,300,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,9,23,759,759,759,758,758,758,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,24,874,849,849,873,848,848,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,9,25,720,720,720,719,719,719,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,26,314,446,450,313,445,449,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,9,27,602,602,602,601,601,601,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,28,7,877,877,6,876,876,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,9,29,610,610,610,609,609,609,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,30,794,603,603,793,602,602,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,9,31,905,290,290,904,289,289,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,9,32,741,741,741,740,740,740,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,9,33,580,565,565,579,564,564,0,40,D_gt_not_in_topk_unrescuable,D_gt_not_in_topk_unrescuable
0_0_0_10_14_16,-26.0,42,9,34,89,212,212,88,211,211,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,10,0,803,803,803,802,802,802,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,1,826,490,131,825,489,130,0,40,D_gt_not_in_topk_unrescuable,D_gt_not_in_topk_unrescuable
0_0_0_10_14_16,-26.0,42,10,2,922,922,922,921,921,921,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,3,691,691,691,690,690,690,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,4,107,107,107,106,106,106,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,5,468,5,532,467,4,531,0,40,D_gt_not_in_topk_unrescuable,D_gt_not_in_topk_unrescuable
0_0_0_10_14_16,-26.0,42,10,6,89,26,26,88,25,25,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,10,7,713,713,713,712,712,712,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,8,865,865,865,864,864,864,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,10,765,765,765,764,764,764,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,11,1023,632,632,1022,631,631,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,10,12,597,597,597,596,596,596,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,13,562,562,562,561,561,561,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,14,478,478,478,477,477,477,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,15,267,267,267,266,266,266,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,17,656,656,284,655,655,283,1,40,C_savaux_ok_phase_break,C_savaux_ok_phase_break
0_0_0_10_14_16,-26.0,42,10,18,889,889,889,888,888,888,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,19,510,510,510,509,509,509,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,20,860,860,860,859,859,859,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,21,553,223,223,552,222,222,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,10,22,629,911,911,628,910,910,0,40,D_gt_not_in_topk_unrescuable,D_gt_not_in_topk_unrescuable
0_0_0_10_14_16,-26.0,42,10,23,759,759,759,758,758,758,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,24,874,814,66,873,813,65,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,10,25,720,90,90,719,89,89,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,10,26,314,159,159,313,158,158,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,10,27,602,947,947,601,946,946,0,40,D_gt_not_in_topk_unrescuable,D_gt_not_in_topk_unrescuable
0_0_0_10_14_16,-26.0,42,10,28,7,782,782,6,781,781,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,10,29,610,610,610,609,609,609,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,30,826,805,474,825,804,473,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,10,31,904,904,904,903,903,903,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,32,760,760,760,759,759,759,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,10,33,577,752,577,576,751,576,1,40,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue
0_0_0_10_14_16,-26.0,42,10,34,930,930,930,929,929,929,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,0,222,222,222,221,221,221,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,1,711,711,711,710,710,710,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,2,871,871,871,870,870,870,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,3,691,691,691,690,690,690,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,4,86,86,86,85,85,85,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,5,468,818,992,467,817,991,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,11,6,89,89,89,88,88,88,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,7,713,719,719,712,718,718,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,11,8,865,865,318,864,864,317,1,40,C_savaux_ok_phase_break,C_savaux_ok_phase_break
0_0_0_10_14_16,-26.0,42,11,9,492,492,492,491,491,491,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,10,765,765,765,764,764,764,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,11,1023,609,609,1022,608,608,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,11,12,597,597,597,596,596,596,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,13,562,562,562,561,561,561,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,14,478,478,478,477,477,477,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,15,267,267,887,266,266,886,1,40,C_savaux_ok_phase_break,C_savaux_ok_phase_break
0_0_0_10_14_16,-26.0,42,11,16,917,917,917,916,916,916,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,17,656,656,656,655,655,655,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,18,889,853,853,888,852,852,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,11,19,510,510,510,509,509,509,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,20,860,860,860,859,859,859,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,21,553,553,553,552,552,552,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,22,629,629,629,628,628,628,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,23,759,759,759,758,758,758,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,24,874,874,874,873,873,873,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,25,720,722,722,719,721,721,1,40,E_gt_in_topk_phase_miss,E_gt_in_topk_phase_miss
0_0_0_10_14_16,-26.0,42,11,26,314,314,314,313,313,313,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
0_0_0_10_14_16,-26.0,42,11,27,602,602,602,601,601,601,1,40,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok
