payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index
2,871,871,871,1,1,0,1,1,1,1,1,0.06627628449031786,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
3,718,718,718,1,1,0,1,1,1,1,1,0.0782950036342249,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
4,86,86,86,1,1,0,1,1,1,1,1,0.07317769339371402,tau0_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
5,467,467,467,1,1,0,1,1,1,1,1,0.04845675874251074,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
6,89,89,89,1,1,0,1,1,1,1,1,0.0749569441465559,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
7,713,713,713,1,1,0,1,1,1,1,1,0.11519767908575589,tau0_slope0,timing,0_0_0_10_14_8,-25.0,3
8,865,865,865,1,1,0,1,1,1,1,1,0.06193538651135192,tau0_slope0.5,timing,0_0_0_10_14_8,-25.0,3
9,405,405,405,1,1,0,1,1,1,1,1,0.09696704125819641,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
10,765,765,765,1,1,0,1,1,1,1,1,0.0673848097474549,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
11,1023,1023,1023,1,1,0,1,1,1,1,1,0.07116341892981079,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,3
12,597,597,597,1,1,0,1,1,1,1,1,0.0735629133090757,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
13,562,562,562,1,1,0,1,1,1,1,1,0.04733445786744156,tau0_slope0,timing,0_0_0_10_14_8,-25.0,3
14,478,478,478,1,1,0,1,1,1,1,1,0.0701756643227656,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,3
