trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power,wrong_symbol,c_1m_true,c_1m_wrong,delta_c_1m,c_multirate_true,c_multirate_wrong,delta_c_multirate,ratio_variance_true,ratio_variance_wrong,delta_wrong_minus_true_ratio_variance,c_1m_true_wins,c_multirate_true_wins,true_ratio_variance_is_lower
10:20260821:93,10.0,20260821,93,exp0_000004_rxg20_0_fulltrim,4,1,313,26,1,88,0,0,0,8.157081366743916e-08,3.341140527818308e-05,26,-0.0002600839879519941,-0.000379828566250148,0.00011974457829815385,-0.0004236055106663715,-0.0009551655706883773,0.0005315600600220057,1.2533485968972817e-05,9.900376175558482e-06,-2.633109793414335e-06,1,1,0
10:20260821:94,10.0,20260821,94,exp0_000004_rxg20_0_fulltrim,4,2,1433,342,1,297,0,0,0,8.030162244751467e-08,3.289154455450201e-05,342,-0.01662216395849932,-0.0039530888257098195,-0.0126690751327895,-0.047469838905701826,-0.01168170948828308,-0.03578812941741875,1.2850339295876118e-05,1.275902684752891e-05,-9.131244834720868e-08,0,0,0
10:20260821:95,10.0,20260821,95,exp0_000004_rxg20_0_fulltrim,4,4,3469,4063,1,2,1,1,1,7.58633036501803e-08,3.1073609175113855e-05,4063,-1.8145707577496503e-05,-6.865586969374402e-06,-1.1280120608122102e-05,-0.0006324062656480423,-4.1438946787510166e-05,-0.0005909673188605321,3.624457930115843e-05,9.274737178553462e-06,-2.6969842122604965e-05,0,0,0
10:20260821:96,10.0,20260821,96,exp0_000004_rxg20_0_fulltrim,4,5,3985,3696,1,4,1,1,1,7.015064903730328e-08,2.8733705845679422e-05,3696,-0.0030765712749094417,-0.0006675430937612173,-0.0024090281811482246,-0.009701770197000366,-0.001961138200118602,-0.007740631996881764,1.3246071499686593e-05,2.008337588575585e-06,-1.1237733911111008e-05,0,0,0
10:20260821:97,10.0,20260821,97,exp0_000004_rxg20_0_fulltrim,4,6,3165,4026,1,364,0,0,0,6.721845937988267e-08,2.753268096199994e-05,4026,-0.00015703635182687015,-0.0007294656523269331,0.0005724293005000629,-0.001118518346956454,-0.0019421606978540422,0.0008236423508975882,3.8296819967686544e-05,1.6718785486116395e-06,-3.6624941419074905e-05,1,1,0
10:20260821:98,10.0,20260821,98,exp0_000004_rxg20_0_fulltrim,4,7,1669,572,1,227,0,0,0,6.0957886044426e-08,2.4968350123796887e-05,572,-0.06524220643246746,-0.0017933798912807492,-0.0634488265411867,-0.19176968629928848,-0.005188985327631856,-0.18658070097165663,1.8811939794839155e-05,6.056201848208954e-07,-1.820631961001826e-05,0,0,0
10:20260821:99,10.0,20260821,99,exp0_000004_rxg20_0_fulltrim,4,8,3245,3909,1,57,0,0,0,5.7288762375525745e-08,2.3465477069015345e-05,3909,-0.0038540680454683582,-0.004352437935516279,0.0004983698900479206,-0.01339028537504838,-0.014263116311044552,0.0008728309359961727,1.8034419620932945e-05,5.489515677159494e-06,-1.2544903943773452e-05,1,1,0
10:20260821:100,10.0,20260821,100,exp0_000004_rxg20_0_fulltrim,4,9,1381,201,1,71,0,0,0,5.143671891759314e-08,2.106848006864615e-05,201,-0.007528156098284422,-0.0003945539901172435,-0.0071336021081671785,-0.022676546209111647,-0.0005842666043046508,-0.022092279604806996,2.216650177561155e-06,3.36431090627539e-05,3.1426458885192744e-05,0,0,1
10:20260821:101,10.0,20260821,101,exp0_000004_rxg20_0_fulltrim,4,10,709,28,1,1046,0,0,0,4.895049323003227e-08,2.0050122027021218e-05,28,-0.044490330579474636,-0.0011490447268086798,-0.04334128585266596,-0.11820536053164687,-0.004870658935297509,-0.11333470159634937,0.00026543180232438217,7.303433499492861e-05,-0.00019239746732945356,0,0,0
10:20260821:102,10.0,20260821,102,exp0_000004_rxg20_0_fulltrim,4,11,609,610,1,9,0,0,1,4.6849944792774036e-08,1.9189737387120245e-05,610,-0.0022996383185190103,-0.000510412765355594,-0.0017892255531634163,-0.005693800243624435,-0.0013944108613026269,-0.004299389382321808,1.0762740975752513e-05,9.615025200198153e-07,-9.801238455732698e-06,0,0,0
