energy_weight,coherence_weight,phase_local_weight,rank_weight,adaptive,low_energy_weight,low_coherence_weight,low_phase_local_weight,low_rank_weight,symbol_count,phase_line_ser,savaux_ser,stage1_top40_recall,actual_viterbi_candidate_recall,ser_-26,savaux_ser_-26,ser_-25,savaux_ser_-25,ser_-24,savaux_ser_-24,ser_-23,savaux_ser_-23,ser_-22,savaux_ser_-22,A_savaux_ok_phase_ok,A_savaux_ok_phase_ok_rate,B_savaux_wrong_phase_rescue,B_savaux_wrong_phase_rescue_rate,C_savaux_ok_phase_break,C_savaux_ok_phase_break_rate,D_stage1_top40_miss,D_stage1_top40_miss_rate,E0_gt_in_top40_but_not_actual_candidates,E0_gt_in_top40_but_not_actual_candidates_rate,E1_gt_in_candidates_local_score_loss,E1_gt_in_candidates_local_score_loss_rate,E2_gt_in_candidates_transition_loss,E2_gt_in_candidates_transition_loss_rate,E3_lock_or_high_conf_removed_gt,E3_lock_or_high_conf_removed_gt_rate,Z_other,Z_other_rate,variant
0.65,0.15,0.15,0.0,1,0.55,0.25,0.25,0.0,9625,0.1311168831168831,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3657142857142856,0.4077922077922077,0.19012987012987004,0.24727272727272723,0.07584415584415584,0.1231168831168831,0.019740259740259735,0.03896103896103895,0.004155844155844156,0.010909090909090908,7863,0.816935064935065,500,0.05194805194805195,168,0.017454545454545455,171,0.017766233766233767,124,0.012883116883116883,729,0.07574025974025975,6,0.0006233766233766234,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.55_c0.25_p0.25_r0.00
0.65,0.15,0.15,0.0,1,0.6,0.2,0.25,0.0,9625,0.13132467532467532,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.364155844155844,0.4077922077922077,0.19220779220779216,0.24727272727272723,0.07636363636363636,0.1231168831168831,0.01974025974025974,0.03896103896103895,0.004155844155844156,0.010909090909090908,7876,0.8182857142857143,485,0.05038961038961039,155,0.016103896103896103,171,0.017766233766233767,124,0.012883116883116883,741,0.07698701298701299,9,0.0009350649350649351,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.60_c0.20_p0.25_r0.00
0.65,0.15,0.15,0.0,1,0.55,0.2,0.25,0.0,9625,0.13132467532467532,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.36467532467532454,0.4077922077922077,0.19168831168831166,0.24727272727272723,0.07584415584415584,0.1231168831168831,0.020259740259740255,0.03896103896103895,0.004155844155844156,0.010909090909090908,7867,0.8173506493506494,494,0.05132467532467532,164,0.017038961038961038,171,0.017766233766233767,124,0.012883116883116883,735,0.07636363636363637,6,0.0006233766233766234,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.55_c0.20_p0.25_r0.00
0.65,0.15,0.15,0.0,1,0.45,0.3,0.2,0.0,9625,0.13142857142857142,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.363116883116883,0.4077922077922077,0.1932467532467532,0.24727272727272723,0.07688311688311687,0.1231168831168831,0.01974025974025974,0.03896103896103895,0.004155844155844156,0.010909090909090908,7861,0.8167272727272727,499,0.051844155844155845,170,0.017662337662337664,171,0.017766233766233767,124,0.012883116883116883,728,0.07563636363636364,8,0.0008311688311688312,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.45_c0.30_p0.20_r0.00
0.65,0.15,0.15,0.0,1,0.5,0.15,0.25,0.0,9625,0.13153246753246753,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.36519480519480507,0.4077922077922077,0.19064935064935062,0.24727272727272723,0.07688311688311687,0.1231168831168831,0.020779220779220776,0.03896103896103895,0.004155844155844156,0.010909090909090908,7855,0.8161038961038961,504,0.05236363636363636,176,0.018285714285714287,171,0.017766233766233767,124,0.012883116883116883,728,0.07563636363636364,3,0.0003116883116883117,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.50_c0.15_p0.25_r0.00
0.65,0.15,0.15,0.0,1,0.6,0.15,0.3,0.0,9625,0.13184415584415585,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3657142857142856,0.4077922077922077,0.19064935064935062,0.24727272727272723,0.0779220779220779,0.1231168831168831,0.020779220779220776,0.03896103896103895,0.004155844155844156,0.010909090909090908,7855,0.8161038961038961,501,0.05205194805194805,176,0.018285714285714287,171,0.017766233766233767,124,0.012883116883116883,731,0.07594805194805195,3,0.0003116883116883117,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.60_c0.15_p0.30_r0.00
0.65,0.15,0.15,0.0,1,0.5,0.2,0.25,0.0,9625,0.13194805194805195,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3667532467532466,0.4077922077922077,0.19168831168831166,0.24727272727272723,0.07688311688311687,0.1231168831168831,0.020259740259740255,0.03896103896103895,0.004155844155844156,0.010909090909090908,7848,0.8153766233766234,507,0.052675324675324674,183,0.019012987012987013,171,0.017766233766233767,124,0.012883116883116883,724,0.07522077922077922,4,0.0004155844155844156,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.50_c0.20_p0.25_r0.00
0.65,0.15,0.15,0.0,1,0.5,0.3,0.25,0.0,9625,0.13205194805194806,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3657142857142856,0.4077922077922077,0.19116883116883113,0.24727272727272723,0.07896103896103894,0.1231168831168831,0.020259740259740255,0.03896103896103895,0.004155844155844156,0.010909090909090908,7849,0.8154805194805195,505,0.05246753246753247,182,0.01890909090909091,171,0.017766233766233767,124,0.012883116883116883,726,0.07542857142857143,4,0.0004155844155844156,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.50_c0.30_p0.25_r0.00
0.65,0.15,0.15,0.0,1,0.5,0.25,0.25,0.0,9625,0.13215584415584417,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3667532467532466,0.4077922077922077,0.19168831168831166,0.24727272727272723,0.0779220779220779,0.1231168831168831,0.020259740259740255,0.03896103896103895,0.004155844155844156,0.010909090909090908,7846,0.8151688311688312,507,0.052675324675324674,185,0.01922077922077922,171,0.017766233766233767,124,0.012883116883116883,724,0.07522077922077922,4,0.0004155844155844156,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.50_c0.25_p0.25_r0.00
0.65,0.15,0.15,0.0,1,0.6,0.2,0.3,0.0,9625,0.13246753246753246,0.1656103896103896,0.9822337662337662,0.9627012987012987,0.3688311688311687,0.4077922077922077,0.19064935064935062,0.24727272727272723,0.07844155844155842,0.1231168831168831,0.020259740259740255,0.03896103896103895,0.004155844155844156,0.010909090909090908,7849,0.8154805194805195,501,0.05205194805194805,182,0.01890909090909091,171,0.017766233766233767,124,0.012883116883116883,731,0.07594805194805195,3,0.0003116883116883117,64,0.00664935064935065,0,0.0,e0.65_c0.15_p0.15_r0.00__lo_e0.60_c0.20_p0.30_r0.00
