file_name,lab_name,experiment_id,corridor_id,position_id,tx_power_dbm,filename_sf,filename_tx_power_dbm,filename_preamble_len,header_packet_counter,packet_avg_power_db,preamble_peak_to_residual_db,preamble_peak_width_3db_bins_avg,preamble_peak_mag_bin_-8,preamble_peak_mag_bin_-7,preamble_peak_mag_bin_-6,preamble_peak_mag_bin_-5,preamble_peak_mag_bin_-4,preamble_peak_mag_bin_-3,preamble_peak_mag_bin_-2,preamble_peak_mag_bin_-1,preamble_peak_mag_bin_+0,preamble_peak_mag_bin_+1,preamble_peak_mag_bin_+2,preamble_peak_mag_bin_+3,preamble_peak_mag_bin_+4,preamble_peak_mag_bin_+5,preamble_peak_mag_bin_+6,preamble_peak_mag_bin_+7,preamble_peak_mag_bin_+8
1_0_11_12_14_16.bin,lab1-SF12-TP14,1,0,11,14,12,14,16,,-35.1959672,11.4202309,0.642540455,0.026247086,0.00536132371,0.0304031782,0.0081672268,0.0393116958,0.0212769732,0.0672617182,0.0960945338,1,0.0831822455,0.0470077917,0.0295787212,0.0249541644,0.0173726492,0.0165896416,0.0125292717,0.0131596606
1_0_12_12_14_16.bin,lab1-SF12-TP14,1,0,12,14,12,14,16,,-41.3609462,-1.92254186,1.73148799,0.0728307739,0.0553570688,0.0988728851,0.0835346431,0.14375183,0.159120768,0.306037933,0.767605126,1,0.434332818,0.20948121,0.147080287,0.107837878,0.0953522325,0.0754086152,0.0711521357,0.0561063401
1_0_12_12_14_16.bin,lab1-SF12-TP14,1,0,12,14,12,14,16,,-42.0120636,-1.05496716,1.19652081,0.073206313,0.0356926471,0.0961859226,0.0563802794,0.133776829,0.1241218,0.269357592,0.616440475,1,0.286919832,0.154591039,0.125052273,0.0835091323,0.0795931667,0.0542343333,0.0584960692,0.0399331227
1_0_12_12_14_16.bin,lab1-SF12-TP14,1,0,12,14,12,14,16,,-40.6630347,-1.70960283,1.74877167,0.0733879581,0.0590671003,0.0943827555,0.0870129615,0.139116108,0.16189456,0.294865042,0.744781017,1,0.469493777,0.220923722,0.151549518,0.113355175,0.0912552625,0.0765773654,0.0665120631,0.0571634062
1_0_12_12_14_16.bin,lab1-SF12-TP14,1,0,12,14,12,14,16,,-40.6656705,-1.08955991,1.62395024,0.0365982987,0.0792564899,0.0517980978,0.10132803,0.0826083943,0.15149048,0.16271621,0.333771408,1,0.820134521,0.287285358,0.180307835,0.124354422,0.102248475,0.0792263523,0.0712565556,0.0586835593
1_0_12_12_14_16.bin,lab1-SF12-TP14,1,0,12,14,12,14,16,,-40.4170122,2.60317707,0.901362181,0.0190444402,0.0572719947,0.029193867,0.0722231045,0.0525016822,0.107455291,0.110689923,0.248242006,1,0.423105955,0.17546998,0.108813047,0.0830958411,0.0623729452,0.0523478836,0.0449587256,0.0398509912
1_0_12_12_14_16.bin,lab1-SF12-TP14,1,0,12,14,12,14,16,,-37.9176367,6.25276184,0.763372421,0.00927289948,0.0456607081,0.0176433437,0.0556939878,0.0314038657,0.0827372894,0.0759715661,0.192056194,1,0.269759744,0.118611239,0.0739530474,0.0582528636,0.0446116515,0.0390519239,0.0300972164,0.0292045865
1_0_12_12_14_16.bin,lab1-SF12-TP14,1,0,12,14,12,14,16,,-40.2881758,2.03019786,0.995475948,0.0250493214,0.0581121221,0.0378141962,0.0749844313,0.0627539307,0.111241378,0.13074021,0.260390222,1,0.503605247,0.192843422,0.128394276,0.0877139121,0.0749243721,0.0515632778,0.0556251369,0.0396547392
1_0_12_12_14_16.bin,lab1-SF12-TP14,1,0,12,14,12,14,16,,-40.3092986,8.90732574,0.624971688,0.00881878193,0.0180161111,0.00724927429,0.0216734949,0.00911022164,0.0273571163,0.0178063679,0.062747702,1,0.0662619174,0.0249613281,0.0225204024,0.0106421448,0.0161467772,0.00873413868,0.011856311,0.00782672968
1_0_12_12_14_16.bin,lab1-SF12-TP14,1,0,12,14,12,14,16,,-40.3137609,6.85344791,0.701746941,0.00932936091,0.0341462791,0.0128727667,0.0399025902,0.0244305097,0.0607912391,0.058157295,0.143262431,1,0.188310206,0.0797552094,0.0592986159,0.0358363017,0.0361169167,0.0235273335,0.0282357354,0.0174030773
1_0_13_12_14_16.bin,lab1-SF12-TP14,1,0,13,14,12,14,16,,-42.1083389,2.11929369,0.799049139,0.011397454,0.0547677279,0.0203393921,0.0682218596,0.0353047326,0.0956857502,0.0843570307,0.214023218,1,0.312786251,0.144135445,0.0807792172,0.0698423311,0.0452062525,0.0519724675,0.0308550671,0.0362780839
1_0_13_12_14_16.bin,lab1-SF12-TP14,1,0,13,14,12,14,16,,-42.0325738,-0.561181009,1.18815815,0.0217242725,0.075847514,0.0361057222,0.0965904444,0.0624233,0.140182257,0.1324431,0.306161314,1,0.605784953,0.243057832,0.134687394,0.11453902,0.0728076845,0.0730500445,0.0504948199,0.0581086874
1_0_13_12_14_16.bin,lab1-SF12-TP14,1,0,13,14,12,14,16,,-49.2770563,-10.3277311,1.2375772,0.0442855917,0.0814739764,0.0699714422,0.0858928338,0.07509996,0.145836025,0.139438331,0.292738914,1,0.630900681,0.229725957,0.148043022,0.122353554,0.0916708931,0.0669461936,0.0694351867,0.0568500385
1_0_13_12_14_16.bin,lab1-SF12-TP14,1,0,13,14,12,14,16,,-50.2313714,-10.527092,1.44412482,0.0549769066,0.0841017291,0.0614117533,0.105078302,0.0881149769,0.156476423,0.157174498,0.323649257,1,0.718663454,0.258923829,0.176205993,0.109070927,0.118023604,0.0901727378,0.0695206523,0.0607452989
1_0_13_12_14_16.bin,lab1-SF12-TP14,1,0,13,14,12,14,16,,-50.5165435,-9.73849297,0.937122166,0.0539871901,0.0727821067,0.0603487417,0.0896451548,0.0743414387,0.110744148,0.117951386,0.257069498,1,0.453922391,0.1912622,0.122189417,0.0966317207,0.0810867175,0.0579032674,0.0694752708,0.049793411
1_0_13_12_14_16.bin,lab1-SF12-TP14,1,0,13,14,12,14,16,,-43.0745565,-1.5315975,1.01077914,0.0160889272,0.0679841191,0.030264385,0.0880279467,0.0461788885,0.128432065,0.118629426,0.281319171,1,0.507054985,0.207823187,0.117382653,0.102031864,0.0609065816,0.0669704527,0.0450232178,0.0532677211
