dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_phase_line_r2,mean_phase_line_rmse_pi
mean_of_datasets,-16.0,28,0.05407544836116265,0.9459245516388374,0.7917748917748918,0.02585034013605442,0.9741496598639455,0.9523809523809524,0.02585034013605442,0.9741496598639455,0.9523809523809524,0.028225108225108226,0.1606060606060606,0.0,0.0,0.8140383426097711,0.0,0.4623376623376623,0.939488437372573,0.2251682805770454
mean_of_datasets,-17.0,28,0.0868769325912183,0.9131230674087817,0.5419913419913419,0.031292517006802724,0.9687074829931973,0.9523809523809524,0.03265306122448979,0.9673469387755101,0.9523809523809524,0.054223871366728495,0.41038961038961036,-0.0013605442176870726,0.0,0.8057390228818799,0.0,0.4561751973516679,0.9253353194192409,0.23523439164314153
mean_of_datasets,-18.0,28,0.14390847247990102,0.856091527520099,0.16363636363636366,0.03991341991341992,0.9600865800865801,0.8887445887445887,0.03904761904761905,0.960952380952381,0.919047619047619,0.10486085343228196,0.7554112554112554,0.0008658008658008658,0.030303030303030314,0.7981323438466296,0.0,0.5161410018552876,0.8944872240550023,0.2426411443065696
mean_of_datasets,-19.0,28,0.24341372912801482,0.7565862708719852,0.0,0.044131106988249846,0.9558688930117502,0.8554112554112554,0.046444032158317876,0.9535559678416821,0.8554112554112554,0.19696969696969693,0.8554112554112554,-0.0023129251700680247,0.0,0.7700432900432901,0.0,0.8380952380952381,0.8999422479794758,0.23477625433770263
mean_of_datasets,-20.0,28,0.3733580705009276,0.6266419294990725,0.0,0.06805194805194804,0.931948051948052,0.6502164502164502,0.06628324056895485,0.9337167594310452,0.6978354978354978,0.30707482993197277,0.6978354978354978,0.0017687074829931977,0.047619047619047596,0.7016573902288187,0.0,0.9238713667285096,0.8995858071369387,0.23928203689637492
mean_of_datasets,-21.0,28,0.5187012987012988,0.4812987012987013,0.0,0.12024737167594308,0.879752628324057,0.4004329004329004,0.11360544217687074,0.8863945578231293,0.37012987012987014,0.405095856524428,0.37012987012987014,0.00664192949907236,-0.030303030303030293,0.5933704390847248,0.0,0.9254504225932797,0.887965791390886,0.2545501141938516
mean_of_datasets,-22.0,28,0.6463079777365492,0.3536920222634508,0.0,0.2042300556586271,0.795769944341373,0.09999999999999999,0.19799628942486083,0.8020037105751392,0.13030303030303028,0.4483116883116884,0.13030303030303028,0.00623376623376624,0.030303030303030304,0.41642547928262214,0.0016835016835016834,0.8853312491669989,0.8396275808017029,0.28465996937222976
mean_of_datasets,-23.0,28,0.7674211502782932,0.23257884972170687,0.0,0.3322077922077922,0.6677922077922078,0.0,0.3294743351886209,0.6705256648113792,0.0,0.4379468150896722,0.0,0.0027334570191712517,0.0,0.27596784168212735,0.004545454545454546,0.7996471931254857,0.8613018165067405,0.3220513266832626
mean_of_datasets,-24.0,28,0.8489424860853433,0.15105751391465677,0.0,0.5058874458874459,0.4941125541125541,0.0,0.5048113790970934,0.4951886209029066,0.0,0.34413110698824984,0.0,0.0010760667903525107,0.0,0.1530117501546073,0.016287878787878785,0.696155032484809,0.8030236560160402,0.3495205039340637
mean_of_datasets,-25.0,28,0.9098824984539271,0.090117501546073,0.0,0.6491403834260977,0.35085961657390236,0.0,0.6469511440940012,0.35304885590599877,0.0,0.26293135435992593,0.0,0.002189239332096508,0.0,0.06421768707482993,0.05782828282828283,0.567353576723347,0.7383054113725401,0.38685796153297053
mean_of_datasets,-26.0,28,0.9474953617810759,0.05250463821892395,0.0,0.7760667903525048,0.22393320964749533,0.0,0.7783302411873841,0.22166975881261597,0.0,0.1691651205936919,0.0,-0.0022634508348793694,0.0,0.03638837353123068,0.04464646464646465,0.43590625653087156,0.7556002045073407,0.36689091622633746
