phase_index,phase_sample,copy_count,peak_bin,signed_peak_bin,peak_power,median_power,peak_to_median,selected
195,798720,8,64,64,428744.79716984194,1.0867862459396904,394507.01439373434,False
196,802816,8,64,64,429217.6443733163,0.8938125228680958,480209.92477933544,False
197,806912,8,64,64,428530.898079848,0.46553681167426275,920509.1570281495,False
198,811008,8,64,64,427209.1166634033,0.31380007180586844,1361405.4139786656,False
199,815104,8,64,64,428831.1867020577,0.2194158585047113,1954422.025939615,False
200,819200,8,440,440,400912.45849082293,0.15859307050884125,2527931.7513968735,False
201,823296,8,436,436,42848.89961799475,0.09199375833025053,465780.5094142419,False
202,827392,8,32488,-280,0.1978134939571933,0.058068545947430404,3.406551528537917,False
203,831488,8,2059,2059,0.24465658459585216,0.05881487417278526,4.159774003377182,False
204,835584,8,29409,-3359,0.22301583100018485,0.05900846340362721,3.779387195269284,False
205,839680,8,26921,-5847,0.2225037250587003,0.05840788233819494,3.8094811205507004,False
206,843776,8,26921,-5847,0.22392270397728398,0.05864295315455589,3.8184077017255014,False
207,847872,8,30937,-1831,0.2763648686386925,0.05811762275582631,4.755267946863618,False
208,851968,8,30937,-1831,0.20883014980992096,0.05691961353090742,3.6688609928197407,False
209,856064,8,6250,6250,0.20643034039025954,0.05537526981997655,3.7278435132028935,False
210,860160,8,31179,-1589,0.22346651817808752,0.05615685471211561,3.979327533988038,False
211,864256,8,32527,-241,0.21469098368624984,0.05571941651748244,3.853073077656668,False
212,868352,8,29759,-3009,0.21753873932353496,0.056173333275121945,3.872633625960711,False
213,872448,8,28914,-3854,0.22927177978198351,0.0574500247879771,3.9908038443521185,False
214,876544,8,5322,5322,0.22456862434193733,0.0566267365566175,3.9657701996901293,False
215,880640,8,30152,-2616,0.24198058058853317,0.05815602859899786,4.160885576576372,False
216,884736,8,30152,-2616,0.2456068882530357,0.059356009573101706,4.137860513526453,False
217,888832,8,32658,-110,0.21859057940695042,0.058563007546878376,3.7325709276794496,False
218,892928,8,7448,7448,0.1994586637539871,0.05723615455408195,3.4848369061118585,False
219,897024,8,7448,7448,0.19891045703800003,0.057954529082103454,3.432181404773492,False
220,901120,8,916,916,0.21627275645243418,0.05807490568489017,3.7240311267298996,False
221,905216,8,30613,-2155,0.2036001860765798,0.057017109324464195,3.5708612465420364,False
222,909312,8,1987,1987,0.2291296598930911,0.05807946322399529,3.945106362457343,False
223,913408,8,27222,-5546,0.21131067459391661,0.05833674152828809,3.6222570726109184,False
224,917504,8,1230,1230,0.23276002792289546,0.058428218961212766,3.9836919909780555,False
225,921600,8,255,255,0.2394581231437533,0.060154238265123394,3.9807356896178647,False
226,925696,8,255,255,0.24360204429792212,0.06067205162306957,4.015061923590801,False
227,929792,8,31767,-1001,0.2366330975973954,0.06088831475111222,3.8863466424495337,False
228,933888,8,30043,-2725,0.2344594595942337,0.06158265167394732,3.8072322841113113,False
229,937984,8,970,970,0.23471200302222522,0.06168161028012247,3.8052184752683664,False
230,942080,8,5622,5622,0.2233458684281139,0.060499057850504065,3.6917247369374206,False
231,946176,8,5622,5622,0.23293140692287534,0.05921602474192923,3.933587368250727,False
232,950272,8,89,89,0.217674525806978,0.05848094446019381,3.7221445005072105,False
233,954368,8,4389,4389,0.21153259007362468,0.05735016947924104,3.6884387961607126,False
234,958464,8,1094,1094,0.22606076041634418,0.05674801672111209,3.983588739802466,False
235,962560,8,2990,2990,0.20796640310624046,0.0566465959364551,3.671295682789705,False
236,966656,8,180,180,0.23684395048619875,0.05659713160935224,4.1847341685256385,False
237,970752,8,32442,-326,0.21966235884602972,0.05685920220750697,3.863268394874318,False
238,974848,8,508,508,0.21461535384986027,0.05724207681447982,3.749258688594116,False
239,978944,8,32600,-168,0.23956606660088509,0.05737126401580564,4.175715329104222,False
240,983040,8,32600,-168,0.2234925736220295,0.058109940970410334,3.84602995442436,False
241,987136,8,4713,4713,0.21142831824280095,0.05937100703124067,3.561137477953652,False
242,991232,8,2498,2498,0.2289806241061126,0.05844824691380876,3.917664535666587,False
