trial_id,packet_id,reference_id,esn0_db,seed,sync_status,estimate_available,strict_gate,decoder_aware_gate,extra_decoder_candidate,gate_failure_reasons,strict_crc_accept,decoder_aware_crc_accept,strict_packet_delivered,decoder_aware_packet_delivered,oracle_packet_delivered,strict_crc_false_delivery,decoder_aware_crc_false_delivery,extra_candidate_crc_rescue,extra_candidate_crc_reject,extra_candidate_crc_false_accept,fec_corrected_packet,current_all_symbol_errors,sync_ms,current_decode_ms,oracle_decode_ms,strict_modeled_decode_ms,decoder_aware_modeled_decode_ms,extra_modeled_decode_ms,signal_power,added_noise_power,current_decode_status,current_header_valid,current_crc_valid,current_payload_exact,current_payload_hex,current_header_symbols_decoded,current_payload_symbols_decoded,current_header_symbol_errors,current_payload_symbol_errors,oracle_decode_status,oracle_header_valid,oracle_crc_valid,oracle_payload_exact,oracle_payload_hex,oracle_header_symbols_decoded,oracle_payload_symbols_decoded,oracle_header_symbol_errors,oracle_payload_symbol_errors,frame_sync_valid,netid_valid,noisy_cfo_total_bins,noisy_payload_start_sample
exp0_000007_rxg20_0_fulltrim:13:20260822,exp0_000007_rxg20_0_fulltrim,7,13.0,20260822,ok,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,10,10471.449600001506,188.06389999735984,218.3182000007946,188.06389999735984,188.06389999735984,0.0,7.449895515307498e-08,1.529361417883315e-05,ok,1,1,1,40443322110001005807003d9b8e75346b7dde1ef9483e616e436db67278563412,8,56,0,10,ok,1,1,1,40443322110001005807003d9b8e75346b7dde1ef9483e616e436db67278563412,8,56,0,9,1,1,-128.77325520103778,673551
exp0_000008_rxg20_0_fulltrim:13:20260822,exp0_000008_rxg20_0_fulltrim,8,13.0,20260822,ok,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,9,9515.853299999435,180.56910000086646,176.01460000150837,180.56910000086646,180.56910000086646,0.0,6.982488910305618e-08,1.4334092496032479e-05,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,0,9,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,0,9,1,1,-128.73510058610086,673552
exp0_000000_rxg20_0_fulltrim:14:20260821,exp0_000000_rxg20_0_fulltrim,0,14.0,20260821,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,1,0,1,1,0,0,1,0,0,1,9,11119.253199998639,326.79339999958756,372.4352000026556,0.0,326.79339999958756,326.79339999958756,6.153250447488309e-08,1.0033779201460684e-05,ok,1,1,1,4044332211000100580000b9883a2d118aa87066a99f804826e75229af78563412,8,56,0,9,ok,1,1,1,4044332211000100580000b9883a2d118aa87066a99f804826e75229af78563412,8,56,0,9,0,1,-129.70837431354542,673544
exp0_000002_rxg20_0_fulltrim:14:20260821,exp0_000002_rxg20_0_fulltrim,2,14.0,20260821,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,1,0,1,1,0,0,1,0,0,1,8,10589.852899996913,260.8761000010418,248.61289999898872,0.0,260.8761000010418,260.8761000010418,2.9434755784562603e-08,4.799769535006887e-06,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,0,8,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,0,8,0,1,-129.93462662174102,673544
exp0_000003_rxg20_0_fulltrim:14:20260821,exp0_000003_rxg20_0_fulltrim,3,14.0,20260821,sync_invalid,1,0,0,0,framesync_netid,0,0,0,0,1,0,0,0,0,0,0,62,10602.444100000866,30.92339999784599,280.2716000005603,0.0,0.0,0.0,5.3735255547964695e-08,8.762323167301364e-06,header_invalid,0,0,0,,8,0,6,56,ok,1,1,1,40443322110001005803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412,8,56,0,8,0,0,-1000.8703255075226,666575
exp0_000004_rxg20_0_fulltrim:14:20260821,exp0_000004_rxg20_0_fulltrim,4,14.0,20260821,ok,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,8,10660.613999996713,266.85359999828506,223.73859999788692,266.85359999828506,266.85359999828506,0.0,6.126035586516529e-08,9.9894013708621e-06,ok,1,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412,8,56,0,8,ok,1,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412,8,56,0,8,1,1,-128.85645832925255,673552
exp0_000005_rxg20_0_fulltrim:14:20260821,exp0_000005_rxg20_0_fulltrim,5,14.0,20260821,ok,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,8,9808.79979999736,216.0217000018747,217.57570000045234,216.0217000018747,216.0217000018747,0.0,7.242874646077204e-08,1.181057159996809e-05,ok,1,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412,8,56,0,8,ok,1,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412,8,56,0,8,1,1,-128.7409067705098,673551
exp0_000006_rxg20_0_fulltrim:14:20260821,exp0_000006_rxg20_0_fulltrim,6,14.0,20260821,ok,1,1,1,0,,0,0,0,0,1,0,0,0,0,0,0,63,10246.435400000337,244.1389000014169,221.9269000015629,244.1389000014169,244.1389000014169,0.0,7.561376789538686e-08,1.232993615532906e-05,truncated_payload,1,0,0,,8,55,7,56,ok,1,1,1,404433221100010058060050b704e1aeae8c5d1c65e040aec124ce72a478563412,8,56,0,8,1,1,31.222172258376368,674828
exp0_000007_rxg20_0_fulltrim:14:20260821,exp0_000007_rxg20_0_fulltrim,7,14.0,20260821,ok,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,8,10471.404000003531,221.6947999986587,240.02570000084233,221.6947999986587,221.6947999986587,0.0,7.449895515307498e-08,1.2148149553226781e-05,ok,1,1,1,40443322110001005807003d9b8e75346b7dde1ef9483e616e436db67278563412,8,56,0,8,ok,1,1,1,40443322110001005807003d9b8e75346b7dde1ef9483e616e436db67278563412,8,56,0,8,1,1,-128.75727834908727,673552
exp0_000008_rxg20_0_fulltrim:14:20260821,exp0_000008_rxg20_0_fulltrim,8,14.0,20260821,ok,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,9,10635.154299998248,267.13440000094124,261.3595000002533,267.13440000094124,267.13440000094124,0.0,6.982488910305618e-08,1.1385974388748053e-05,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,0,9,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,0,9,1,1,-128.72657483236375,673552
