packet_index,frame_index,event_index,symbol_count,gt_topk_recall,mean_gt_savaux_rank,pattern_count,bank_kind,mode_best_pattern_on_savaux,mean_best_pattern_gain_vs_savaux,mean_coherent_gain_vs_savaux,mean_whitened_gain_vs_savaux,mean_stable_gain_vs_savaux,mean_hybrid_gain_vs_savaux,savaux_err,savaux_ser,best_pattern_err,best_pattern_ser,best_pattern_changes_vs_savaux,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,mean_pattern_err,mean_pattern_ser,mean_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,coherent_pattern_err,coherent_pattern_ser,coherent_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,whitened_pattern_err,whitened_pattern_ser,whitened_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,stable_pattern_err,stable_pattern_ser,stable_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,hybrid_mean_pattern_err,hybrid_mean_pattern_ser,hybrid_mean_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,gated_mean_pattern_err,gated_mean_pattern_ser,gated_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_stable_pattern_err,gated_stable_pattern_ser,gated_stable_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_consensus_pattern_err,gated_consensus_pattern_ser,gated_consensus_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_hybrid_pattern_err,gated_hybrid_pattern_ser,gated_hybrid_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,dataset,snr_db,seed
1,0,1,35,0.9428571428571428,3.4285714285714284,32,random_only,random_029,0.22303638483502097,0.06388441097334513,0.23392854661309156,0.7664659340204241,0.15528825450827935,10,0.2857142857142857,23,0.6571428571428571,23,1,14,7,0.2,7,4,1,9,0.2571428571428571,10,4,3,9,0.2571428571428571,10,4,3,7,0.2,6,3,0,7,0.2,6,4,1,7,0.2,5,3,0,9,0.2571428571428571,1,1,0,9,0.2571428571428571,1,1,0,7,0.2,4,3,0,0_0_0_10_14_16,-25.0,42
2,1,2,35,1.0,1.9428571428571428,32,random_only,random_009,0.23444713301743364,0.06462078144961814,0.23592267384837864,0.7936925495532213,0.15246060820935992,6,0.17142857142857143,20,0.5714285714285714,20,1,15,9,0.2571428571428571,8,1,4,6,0.17142857142857143,3,1,1,6,0.17142857142857143,3,1,1,6,0.17142857142857143,0,0,0,7,0.2,4,1,2,7,0.2,1,0,1,6,0.17142857142857143,0,0,0,6,0.17142857142857143,0,0,0,6,0.17142857142857143,0,0,0,0_0_0_10_14_16,-25.0,42
1,0,1,35,0.8857142857142857,9.485714285714286,32,random_only,random_029,0.23365438999760718,0.06257139510357569,0.2286352802385866,0.7374946577263165,0.1573138673577478,17,0.4857142857142857,27,0.7714285714285715,27,2,12,16,0.45714285714285713,10,2,1,16,0.45714285714285713,12,2,1,15,0.42857142857142855,13,3,1,18,0.5142857142857142,7,0,1,16,0.45714285714285713,6,1,0,16,0.45714285714285713,4,1,0,17,0.4857142857142857,1,0,0,17,0.4857142857142857,1,0,0,15,0.42857142857142855,4,2,0,0_0_0_10_14_16,-26.0,42
2,1,2,35,0.8857142857142857,5.0285714285714285,32,random_only,random_009,0.24043964770479534,0.06361583600265815,0.2332461435262189,0.7640291632707038,0.15513528769081045,14,0.4,22,0.6285714285714286,21,2,10,14,0.4,9,2,2,13,0.37142857142857144,7,3,2,14,0.4,6,2,2,13,0.37142857142857144,3,2,1,14,0.4,6,2,2,13,0.37142857142857144,4,2,1,14,0.4,0,0,0,14,0.4,0,0,0,12,0.34285714285714286,2,2,0,0_0_0_10_14_16,-26.0,42
0,0,0,35,0.2,186.74285714285713,32,random_only,random_017,0.24280562496126037,0.06537697724612265,0.2398631796037264,0.7481071040285737,0.1604812924211728,34,0.9714285714285714,35,1.0,28,0,1,34,0.9714285714285714,12,0,0,34,0.9714285714285714,12,0,0,35,1.0,13,0,1,34,0.9714285714285714,3,0,0,34,0.9714285714285714,10,0,0,34,0.9714285714285714,7,0,0,34,0.9714285714285714,0,0,0,34,0.9714285714285714,0,0,0,34,0.9714285714285714,5,0,0,0_0_0_10_14_32,-25.0,1
2,1,2,35,1.0,1.0,32,random_only,random_030,0.1885976471777502,0.06436555767826485,0.23710259824604135,0.8478474288040205,0.14463553863330544,0,0.0,4,0.11428571428571428,4,0,4,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,0,0.0,0,0,0,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0_0_0_10_14_32,-25.0,1
0,0,0,35,0.14285714285714285,236.17142857142858,32,random_only,random_017,0.2434809706469333,0.06539146380801955,0.23991001631386577,0.7471263152387007,0.16069642136969658,34,0.9714285714285714,35,1.0,28,0,1,34,0.9714285714285714,12,0,0,35,1.0,13,0,1,35,1.0,13,0,1,35,1.0,4,0,1,34,0.9714285714285714,10,0,0,34,0.9714285714285714,7,0,0,35,1.0,1,0,1,34,0.9714285714285714,0,0,0,34,0.9714285714285714,5,0,0,0_0_0_10_14_32,-26.0,1
2,1,2,35,1.0,1.0285714285714285,32,random_only,random_030,0.20542154846356328,0.06517531225005055,0.2399318801058609,0.820785843447917,0.14963362701427696,1,0.02857142857142857,11,0.3142857142857143,12,1,11,2,0.05714285714285714,1,0,1,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,0_0_0_10_14_32,-26.0,1
0,0,0,35,0.2857142857142857,117.37142857142857,32,random_only,random_017,0.24857337143029803,0.06314947584405571,0.2321144394308913,0.7166577379766174,0.1614885401013694,34,0.9714285714285714,34,0.9714285714285714,28,1,1,33,0.9428571428571428,12,1,0,33,0.9428571428571428,13,1,0,34,0.9714285714285714,12,0,0,34,0.9714285714285714,8,0,0,33,0.9428571428571428,9,1,0,34,0.9714285714285714,8,0,0,34,0.9714285714285714,3,0,0,34,0.9714285714285714,1,0,0,34,0.9714285714285714,5,0,0,0_0_0_10_14_32,-25.0,2
2,1,2,35,1.0,1.1714285714285715,32,random_only,random_000,0.1900016038739241,0.06354462080292235,0.23274705253918293,0.8263490882876539,0.14614149971952345,2,0.05714285714285714,10,0.2857142857142857,9,0,8,5,0.14285714285714285,3,0,3,5,0.14285714285714285,3,0,3,5,0.14285714285714285,3,0,3,4,0.11428571428571428,2,0,2,4,0.11428571428571428,2,0,2,3,0.08571428571428572,1,0,1,2,0.05714285714285714,0,0,0,2,0.05714285714285714,0,0,0,2,0.05714285714285714,0,0,0,0_0_0_10_14_32,-25.0,2
