dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_in_candidates,candidate_count,gt_abs_tau_residual_rank,gt_tau_gain_rank,gt_corrected_coherence_rank,gt_abs_tau_residual_rank_pct,gt_tau_gain_rank_pct,gt_corrected_coherence_rank_pct,selected_abs_tau_residual_rank,selected_tau_gain_rank,selected_corrected_coherence_rank
0_0_0_10_14_16,-25.0,42,6,12,1,4,2,4,1,0.6666666666666667,0.0,1.0,2,4,1
0_0_0_10_14_16,-25.0,42,6,13,1,28,1,6,2,1.0,0.8148148148148149,0.962962962962963,1,6,2
0_0_0_10_14_16,-25.0,42,6,14,1,4,2,4,2,0.6666666666666667,0.0,0.6666666666666667,2,4,2
0_0_0_10_14_16,-25.0,42,6,15,1,4,1,1,1,1.0,1.0,1.0,1,1,1
0_0_0_10_14_16,-25.0,42,6,16,1,4,2,4,2,0.6666666666666667,0.0,0.6666666666666667,2,4,2
0_0_0_10_14_16,-25.0,42,6,17,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,6,18,0,28,0,0,0,0.0,0.0,0.0,10,27,21
0_0_0_10_14_16,-25.0,42,6,19,1,4,2,4,3,0.6666666666666667,0.0,0.33333333333333337,2,4,3
0_0_0_10_14_16,-25.0,42,6,20,1,4,2,4,2,0.6666666666666667,0.0,0.6666666666666667,2,4,2
0_0_0_10_14_16,-25.0,42,6,21,1,4,2,4,3,0.6666666666666667,0.0,0.33333333333333337,2,4,3
0_0_0_10_14_16,-25.0,42,6,22,1,4,2,4,2,0.6666666666666667,0.0,0.6666666666666667,2,4,2
0_0_0_10_14_16,-25.0,42,6,23,1,28,1,12,22,1.0,0.5925925925925926,0.2222222222222222,1,12,22
0_0_0_10_14_16,-25.0,42,6,24,1,4,1,1,1,1.0,1.0,1.0,1,1,1
0_0_0_10_14_16,-25.0,42,6,25,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,6,26,1,28,1,12,9,1.0,0.5925925925925926,0.7037037037037037,6,28,13
0_0_0_10_14_16,-25.0,42,6,27,1,4,2,4,2,0.6666666666666667,0.0,0.6666666666666667,2,4,2
0_0_0_10_14_16,-25.0,42,6,28,1,28,16,19,10,0.4444444444444444,0.33333333333333337,0.6666666666666667,16,19,10
0_0_0_10_14_16,-25.0,42,6,29,1,4,2,4,2,0.6666666666666667,0.0,0.6666666666666667,2,4,2
0_0_0_10_14_16,-25.0,42,6,30,1,4,2,3,3,0.6666666666666667,0.33333333333333337,0.33333333333333337,2,3,3
0_0_0_10_14_16,-25.0,42,6,31,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,6,32,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,6,33,1,28,9,5,11,0.7037037037037037,0.8518518518518519,0.6296296296296297,9,5,11
0_0_0_10_14_16,-25.0,42,6,34,1,4,4,2,2,0.0,0.6666666666666667,0.6666666666666667,4,2,2
0_0_0_10_14_16,-25.0,42,8,0,1,4,3,4,1,0.33333333333333337,0.0,1.0,3,4,1
0_0_0_10_14_16,-25.0,42,8,1,1,4,1,1,3,1.0,1.0,0.33333333333333337,1,1,3
0_0_0_10_14_16,-25.0,42,8,2,1,28,10,19,9,0.6666666666666667,0.33333333333333337,0.7037037037037037,10,19,9
0_0_0_10_14_16,-25.0,42,8,3,1,28,1,20,15,1.0,0.2962962962962963,0.4814814814814815,1,20,15
0_0_0_10_14_16,-25.0,42,8,4,1,4,3,1,2,0.33333333333333337,1.0,0.6666666666666667,3,1,2
0_0_0_10_14_16,-25.0,42,8,5,1,28,1,12,1,1.0,0.5925925925925926,1.0,1,12,1
0_0_0_10_14_16,-25.0,42,8,6,1,4,1,2,4,1.0,0.6666666666666667,0.0,1,2,4
0_0_0_10_14_16,-25.0,42,8,7,1,28,3,2,9,0.9259259259259259,0.962962962962963,0.7037037037037037,8,28,1
0_0_0_10_14_16,-25.0,42,8,8,1,4,4,1,3,0.0,1.0,0.33333333333333337,4,1,3
0_0_0_10_14_16,-25.0,42,8,9,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,8,10,1,4,3,4,2,0.33333333333333337,0.0,0.6666666666666667,3,4,2
0_0_0_10_14_16,-25.0,42,8,11,1,4,3,4,2,0.33333333333333337,0.0,0.6666666666666667,3,4,2
0_0_0_10_14_16,-25.0,42,8,12,1,28,1,7,10,1.0,0.7777777777777778,0.6666666666666667,1,7,10
0_0_0_10_14_16,-25.0,42,8,13,1,4,3,2,4,0.33333333333333337,0.6666666666666667,0.0,2,3,3
0_0_0_10_14_16,-25.0,42,8,14,1,28,16,6,2,0.4444444444444444,0.8148148148148149,0.962962962962963,1,28,9
0_0_0_10_14_16,-25.0,42,8,15,1,28,1,28,28,1.0,0.0,0.0,1,28,28
0_0_0_10_14_16,-25.0,42,8,16,1,4,2,3,1,0.6666666666666667,0.33333333333333337,1.0,2,3,1
0_0_0_10_14_16,-25.0,42,8,17,1,28,10,14,1,0.6666666666666667,0.5185185185185186,1.0,10,14,1
0_0_0_10_14_16,-25.0,42,8,18,1,4,2,2,2,0.6666666666666667,0.6666666666666667,0.6666666666666667,2,2,2
0_0_0_10_14_16,-25.0,42,8,19,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,8,20,1,4,4,1,2,0.0,1.0,0.6666666666666667,4,1,2
0_0_0_10_14_16,-25.0,42,8,21,0,4,0,0,0,0.0,0.0,0.0,1,4,2
0_0_0_10_14_16,-25.0,42,8,22,1,28,12,8,8,0.5925925925925926,0.7407407407407407,0.7407407407407407,12,8,8
0_0_0_10_14_16,-25.0,42,8,23,1,28,24,3,17,0.14814814814814814,0.9259259259259259,0.40740740740740744,24,3,17
0_0_0_10_14_16,-25.0,42,8,24,1,28,6,22,10,0.8148148148148149,0.2222222222222222,0.6666666666666667,6,22,10
0_0_0_10_14_16,-25.0,42,8,25,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,8,26,0,28,0,0,0,0.0,0.0,0.0,1,28,2
0_0_0_10_14_16,-25.0,42,8,27,1,28,1,28,15,1.0,0.0,0.4814814814814815,1,28,15
0_0_0_10_14_16,-25.0,42,8,28,1,4,4,2,1,0.0,0.6666666666666667,1.0,4,2,1
0_0_0_10_14_16,-25.0,42,8,29,1,4,3,2,1,0.33333333333333337,0.6666666666666667,1.0,3,2,1
0_0_0_10_14_16,-25.0,42,8,30,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,8,31,1,4,4,3,1,0.0,0.33333333333333337,1.0,4,3,1
0_0_0_10_14_16,-25.0,42,8,32,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,8,33,1,4,1,2,3,1.0,0.6666666666666667,0.33333333333333337,1,2,3
0_0_0_10_14_16,-25.0,42,8,34,1,4,4,2,3,0.0,0.6666666666666667,0.33333333333333337,4,2,3
0_0_0_10_14_16,-25.0,42,9,0,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,9,1,1,4,1,4,3,1.0,0.0,0.33333333333333337,1,4,3
0_0_0_10_14_16,-25.0,42,9,2,1,40,33,11,3,0.17948717948717952,0.7435897435897436,0.9487179487179487,33,11,3
0_0_0_10_14_16,-25.0,42,9,3,1,40,12,28,9,0.717948717948718,0.3076923076923077,0.7948717948717949,12,28,9
0_0_0_10_14_16,-25.0,42,9,4,1,4,3,2,4,0.33333333333333337,0.6666666666666667,0.0,3,2,4
0_0_0_10_14_16,-25.0,42,9,5,1,4,3,2,3,0.33333333333333337,0.6666666666666667,0.33333333333333337,3,2,3
0_0_0_10_14_16,-25.0,42,9,6,1,4,3,2,2,0.33333333333333337,0.6666666666666667,0.6666666666666667,3,2,2
0_0_0_10_14_16,-25.0,42,9,7,1,1,1,1,1,0.0,0.0,0.0,1,1,1
