packet_index,event_index,symbol_index,selected_bin,signed_bin,symbol_value,phase_at_bin,phase_predicted,phase_residual_rad,phase_score,margin,confidence,amplitude,energy_ratio,argmax_bin,argmax_is_selected,rank_by_amp,gt_bin,is_correct
2,2,26,166,166,165,-0.497968,0.952558,-1.450526,1.000000,0.103360,0.5132,12.560555,0.006581,166,1,0,314,0
2,2,27,552,-472,551,-2.887566,-0.406604,-2.480962,1.000000,0.017218,0.4280,13.308729,0.007190,552,1,0,602,0
2,2,28,676,-348,675,0.363616,-4.246729,-1.672841,1.000000,0.102108,0.5163,15.332785,0.009432,676,1,0,7,0
2,2,29,885,-139,884,-0.050676,-2.025982,1.975306,1.000000,0.038773,0.4490,13.089281,0.006807,885,1,0,610,0
2,2,30,259,259,258,-1.326018,-2.440274,1.114256,0.440846,-0.504308,0.1859,12.496665,0.006361,259,1,0,775,0
2,2,31,268,268,267,0.075979,-2.601361,2.677340,1.000000,0.143352,0.5545,13.587471,0.007420,268,1,0,912,0
2,2,32,802,-222,801,-0.892265,-0.338313,-0.553952,0.850452,0.280410,0.6360,15.570345,0.010292,802,1,0,768,0
2,2,33,692,-332,691,1.165932,-1.860508,3.026440,1.000000,0.210898,0.6228,13.590226,0.007921,692,1,0,581,0
2,2,34,567,-457,566,-3.061284,2.567929,0.653972,0.793674,-0.200091,0.3279,13.209580,0.006974,567,1,0,93,0
3,3,0,258,258,257,-2.962895,1.965853,1.354437,1.000000,0.140208,0.5521,13.863348,0.007952,258,1,0,222,0
3,3,1,306,306,305,-2.910913,-2.968706,0.057793,0.998330,0.134871,0.5442,12.684231,0.006652,306,1,0,711,0
3,3,2,65,65,64,0.109692,-2.858931,2.968623,1.000000,0.062105,0.4708,12.032897,0.005791,65,1,0,871,0
3,3,3,395,395,394,-1.698356,1.481561,3.103268,1.000000,0.044641,0.4543,12.550685,0.006462,395,1,0,718,0
3,3,4,834,-190,833,1.233812,-1.646374,2.880186,1.000000,0.250491,0.6616,13.440058,0.007438,834,1,0,107,0
3,3,5,877,-147,876,-2.841117,4.165981,-0.723912,0.749220,-0.171792,0.3092,12.903050,0.006319,877,1,0,468,0
3,3,6,360,360,359,1.286106,-0.632860,1.918966,1.000000,0.066154,0.4754,12.147305,0.006181,360,1,0,89,0
3,3,7,407,407,406,-3.118581,3.494362,-0.329758,0.946121,-0.021766,0.3892,13.348126,0.007192,407,1,0,713,0
3,3,8,769,-255,768,-2.149163,-1.240082,-0.909081,0.614471,-0.340851,0.2555,12.288694,0.006455,769,1,0,865,0
3,3,9,927,-97,926,-1.569516,-1.179745,-0.389771,0.924996,0.052713,0.4324,12.622643,0.006434,927,1,0,492,0
3,3,10,76,76,75,0.955813,-0.600098,1.555911,1.000000,0.074329,0.4827,11.690181,0.005554,76,1,0,765,0
3,3,11,796,-228,795,2.567874,1.925230,0.642644,0.800514,0.008369,0.3410,14.039852,0.008256,796,1,0,1023,0
3,3,12,815,-209,814,-1.430235,4.179936,0.673014,0.781946,-0.071850,0.3252,14.044554,0.008281,815,1,0,597,0
3,3,13,264,264,263,-2.989484,0.854840,2.438862,1.000000,0.103675,0.5150,13.629104,0.007566,264,1,0,562,0
3,3,14,574,-450,573,-1.590718,-1.377422,-0.213296,0.977339,-0.016551,0.4002,11.983615,0.006151,574,1,0,478,0
3,3,15,566,-458,565,-3.136236,-0.191952,-2.944284,1.000000,0.011138,0.4223,13.315905,0.007448,566,1,0,267,0
3,3,16,654,-370,653,1.594689,-4.681754,-0.006743,0.999977,0.018362,0.4291,13.445076,0.007189,654,1,0,917,0
3,3,17,656,-368,655,-2.178692,0.049171,-2.227862,1.000000,0.004604,0.4136,11.880587,0.006000,656,1,0,656,1
3,3,18,923,-101,922,1.586812,-3.724210,-0.972163,0.563514,-0.330883,0.2368,13.580327,0.007582,923,1,0,889,0
3,3,19,510,510,509,-3.002901,0.034551,-3.037452,1.000000,0.190645,0.6037,14.565366,0.008700,510,1,0,510,1
3,3,20,398,398,397,2.151760,-1.309429,-2.821995,1.000000,0.102031,0.5110,11.835118,0.005993,398,1,0,860,0
3,3,21,212,212,211,0.791524,1.023236,-0.231713,0.973274,0.166879,0.5668,12.526545,0.007053,212,1,0,553,0
3,3,22,823,-201,822,-0.434863,-0.337000,-0.097862,0.995215,0.051208,0.4583,12.623109,0.006009,823,1,0,629,0
3,3,23,80,80,79,-1.381394,-1.661249,0.279855,0.961096,-0.013914,0.3950,13.357348,0.007071,80,1,0,759,0
3,3,24,324,324,323,-1.397087,-2.607781,1.210693,0.352371,-0.331439,0.1533,14.111773,0.008218,324,1,0,874,0
3,3,25,524,-500,523,2.287106,-2.343619,-1.652460,1.000000,0.174777,0.5845,12.613103,0.006475,524,1,0,720,0
3,3,26,541,-483,540,-0.933521,1.340574,-2.274095,1.000000,0.081687,0.4917,12.609345,0.006652,541,1,0,314,0
3,3,27,911,-113,910,1.560152,-0.949214,2.509366,1.000000,0.018287,0.4303,13.963478,0.008042,911,1,0,602,0
3,3,28,650,-374,649,0.289413,4.053825,2.518773,1.000000,0.167594,0.5785,13.521729,0.007241,650,1,0,7,0
3,3,29,45,45,44,0.422534,2.783086,-2.360552,1.000000,0.007839,0.4166,11.981698,0.005821,45,1,0,610,0
3,3,30,454,454,453,-0.034641,0.555654,-0.590296,0.830776,0.000573,0.3450,14.284447,0.008055,454,1,0,778,0
3,3,31,431,431,430,-1.312362,-0.491816,-0.820546,0.681822,-0.129284,0.2874,15.478972,0.009806,431,1,0,897,0
3,3,32,343,343,342,-2.821254,-1.769537,-1.051717,0.496081,-0.334848,0.2091,13.029900,0.007135,343,1,0,740,0
3,3,33,601,-423,600,-1.038037,-4.098975,3.060938,1.000000,0.030536,0.4395,12.142078,0.006005,601,1,0,590,0
3,3,34,774,-250,773,-2.647602,-2.315758,-0.331844,0.945443,0.056177,0.4455,13.369417,0.007444,774,1,0,930,0
5,5,0,943,-81,942,-2.750044,-2.896933,0.146889,0.901570,0.008207,0.3769,11.636514,0.005385,936,0,5,222,0
5,5,1,826,-198,825,-2.855750,-3.004482,0.148732,0.959674,0.016938,0.4087,11.017676,0.005249,184,0,4,826,1
5,5,2,166,166,165,2.921624,-2.961456,-0.400105,0.921020,-0.024945,0.3769,11.537454,0.005675,166,1,0,871,0
5,5,3,985,-39,984,2.645141,2.815918,-0.170778,0.957621,0.004799,0.3957,11.131141,0.005230,85,0,11,718,0
5,5,4,233,233,232,2.323632,2.368657,-0.045025,0.998987,0.066890,0.4792,14.100502,0.008475,233,1,0,86,0
5,5,5,30,30,29,3.021568,2.002123,1.019445,0.523839,-0.422757,0.2197,12.815554,0.006765,30,1,0,468,0
5,5,6,677,-347,676,3.135957,2.745085,0.390872,0.924577,-0.017237,0.3808,13.117599,0.007310,677,1,0,89,0
5,5,7,977,-47,976,2.448081,3.250345,-0.802264,0.695081,-0.219725,0.2887,13.346035,0.007119,977,1,0,713,0
5,5,8,865,-159,864,2.543920,2.562469,-0.018549,0.961593,0.031001,0.4245,12.121432,0.005930,63,0,4,865,1
5,5,9,900,-124,899,1.614676,2.639760,-1.025083,0.519028,-0.399570,0.2166,11.780969,0.005996,900,1,0,492,0
5,5,10,727,-297,726,1.485944,0.926801,0.559144,0.847710,-0.124745,0.3483,12.351775,0.006166,727,1,0,765,0
5,5,11,782,-242,781,1.410057,1.357212,0.052845,0.926990,0.015119,0.3926,10.669497,0.004466,50,0,10,1023,0
5,5,12,950,-74,949,1.115492,1.281325,-0.165833,0.939650,0.003097,0.3856,10.060021,0.004431,1003,0,10,597,0
5,5,13,4,4,3,1.194466,0.986760,0.207706,0.944138,0.005620,0.3909,11.086371,0.005087,505,0,6,562,0
5,5,14,87,87,86,1.408335,1.118579,0.289756,0.958314,0.032188,0.4285,14.729988,0.008638,87,1,0,478,0
5,5,15,249,249,248,1.514198,1.487309,0.026889,0.924411,0.012414,0.3887,10.322681,0.004322,362,0,14,267,0
5,5,16,22,22,21,1.997003,1.620061,0.376942,0.929795,0.000625,0.3827,12.993018,0.006772,22,1,0,917,0
5,5,17,1,1,0,2.792380,2.210872,0.581508,0.835635,-0.061264,0.3437,12.304820,0.006308,1,1,0,656,0
5,5,18,682,-342,681,2.997237,3.275185,-0.277948,0.960121,0.050998,0.4442,11.977283,0.006120,537,0,1,889,0
5,5,19,863,-161,862,3.135259,3.480042,-0.344783,0.941149,-0.000960,0.3869,13.024750,0.006973,863,1,0,510,0
5,5,20,827,-197,826,-2.607473,3.340117,0.335596,0.944214,-0.024170,0.3866,12.093928,0.005921,827,1,0,860,0
5,5,21,601,-423,600,-2.538644,-2.402616,-0.136029,0.938501,0.027372,0.4105,11.493915,0.005136,484,0,3,553,0
5,5,22,330,330,329,-2.448463,-2.400622,-0.047841,0.961466,0.064694,0.4598,12.782410,0.007040,759,0,2,629,0
5,5,23,104,104,103,-2.339306,-2.358282,0.018976,0.935077,0.023852,0.4052,11.195925,0.004908,169,0,6,759,0
5,5,24,476,476,475,-2.101738,-2.249124,0.147386,0.944554,0.006330,0.3911,10.738595,0.004657,460,0,4,874,0
5,5,25,786,-238,785,-1.635051,-1.992581,0.357530,0.936764,-0.009485,0.3838,12.283105,0.006048,786,1,0,720,0
5,5,26,311,311,310,-1.527484,-1.397483,-0.130001,0.991562,0.052050,0.4596,13.506771,0.007268,311,1,0,314,0
5,5,27,143,143,142,-1.309495,-1.289917,-0.019579,0.947282,0.032687,0.4187,10.377569,0.004764,673,0,8,602,0
5,5,28,316,316,315,-1.193030,-1.091506,-0.101524,0.953472,0.009138,0.3981,11.164372,0.005037,459,0,10,7,0
5,5,29,572,-452,571,-1.082817,-1.076565,-0.006252,0.992374,0.074137,0.4803,12.459680,0.006150,685,0,3,610,0
5,5,30,992,-32,991,-0.934906,-0.966352,0.031446,0.945035,0.040364,0.4255,10.695639,0.004737,943,0,4,823,0
5,5,31,589,-435,588,-0.852407,-0.818441,-0.033966,0.919745,0.015859,0.3888,9.137174,0.003391,678,0,37,913,0
5,5,32,248,248,247,-0.992778,-0.742194,-0.250584,0.969596,0.030219,0.4279,12.990118,0.006556,337,0,1,741,0
5,5,33,1,1,0,0.182580,-0.910279,1.092858,0.459949,-0.485778,0.1946,12.817684,0.007086,1,1,0,581,0
5,5,34,555,-469,554,0.419893,0.265079,0.154814,0.933381,0.015070,0.3956,10.631454,0.004752,91,0,10,91,0
6,6,0,803,-221,802,-2.203047,-2.487078,0.284031,0.959934,0.194230,0.5896,14.000162,0.007589,803,1,0,803,1
6,6,1,1016,-8,1015,0.862636,-2.334271,-3.086278,1.000000,0.188302,0.5991,12.758056,0.007188,1016,1,0,826,0
6,6,2,739,-285,738,1.728052,3.928319,-2.200266,1.000000,0.045963,0.4551,12.460399,0.006087,739,1,0,871,0
6,6,3,617,-407,616,-1.169301,2.593469,2.520415,1.000000,0.164993,0.5770,14.253552,0.008024,617,1,0,718,0
6,6,4,402,402,401,1.668737,-0.303884,1.972621,1.000000,0.014828,0.4276,14.294553,0.008508,402,1,0,107,0
6,6,5,318,318,317,-1.395968,2.534154,2.353063,1.000000,0.315648,0.7147,15.460135,0.009808,318,1,0,468,0
6,6,6,83,83,82,-2.678921,-4.293322,1.614400,1.000000,0.149195,0.5602,13.195094,0.007339,83,1,0,89,0
6,6,7,354,354,353,-2.757093,-3.961874,1.204782,0.357897,-0.637563,0.1520,12.268056,0.005895,354,1,0,713,0
6,6,8,32,32,31,-0.891482,-4.040046,-3.134622,1.000000,0.050458,0.4604,12.824299,0.006626,32,1,0,865,0
6,6,9,678,-346,677,-0.634353,-0.969654,0.335300,0.944312,0.084871,0.4728,13.025917,0.006829,678,1,0,492,0
6,6,10,619,-405,618,-2.741884,-0.377224,-2.364660,1.000000,0.076907,0.4857,11.900224,0.005834,619,1,0,765,0
6,6,11,166,166,165,0.674774,-2.484755,-3.123656,1.000000,0.050792,0.4618,13.370831,0.007334,166,1,0,1023,0
6,6,12,597,-427,596,0.976614,-1.432757,2.409371,1.000000,0.147369,0.5602,14.282931,0.008569,597,1,0,597,1
