scenario,target_tx_dbm,trial,symbol_index,gt_bin,branch0_bin,savaux_bin,equal8_bin,equal8_wrap_bin,gls8_direct_bin,gls8_cg_bin,gls8_cg_wrap_bin,conditional_gls_bin,savaux_margin_db,branch_color_mismatch,conditional_backend_ran
one_interferer,-63.0,0,122,317,603,317,317,317,317,317,317,317,0.2325972209571199,1.27183552508338,1
one_interferer,-63.0,0,123,719,719,719,719,719,719,719,719,719,4.432621000104505,1.2697433873362458,0
one_interferer,-63.0,0,124,809,809,809,809,809,809,809,809,809,3.477654683786594,1.275740214266672,0
one_interferer,-63.0,0,125,263,263,263,263,263,263,263,263,263,3.5420137481075757,1.265693993965917,0
one_interferer,-63.0,0,126,585,139,585,585,585,585,585,585,585,0.17644332116625477,1.280550203031246,1
one_interferer,-63.0,0,127,114,114,114,114,114,114,114,114,114,0.3724167813860899,1.2631293724473949,1
one_interferer,-63.0,0,128,532,532,532,532,532,532,532,532,532,1.1115395945350584,1.262704887999596,0
one_interferer,-63.0,0,129,215,215,215,215,215,215,215,215,215,2.648480595124668,1.2830559261276138,0
one_interferer,-63.0,0,130,521,521,521,521,521,521,521,521,521,1.2499927062482532,1.2633882224713413,0
one_interferer,-63.0,0,131,68,68,68,68,68,68,68,68,68,1.27695236125628,1.2700187808013996,0
one_interferer,-63.0,0,132,929,929,929,929,929,929,929,929,929,3.5189463717846,1.2887686197892299,0
one_interferer,-63.0,0,133,436,436,436,436,436,436,436,436,436,0.3004539047479104,1.2721623192113014,1
one_interferer,-63.0,0,134,619,619,619,619,619,619,619,619,619,2.686398727401476,1.286479968683481,0
one_interferer,-63.0,0,135,879,22,22,22,22,22,22,22,22,1.3490712923013644,1.2981946441736891,0
one_interferer,-63.0,0,136,749,749,749,749,749,749,749,749,749,3.907532327066453,1.2952893592960004,0
one_interferer,-63.0,0,137,920,920,920,920,920,920,920,920,920,4.6040441802473815,1.2849671453964848,0
one_interferer,-63.0,0,138,127,127,127,127,127,127,127,127,127,1.3218118755271002,1.3012278522084566,0
one_interferer,-63.0,0,139,362,362,362,362,362,362,362,362,362,1.799930632573117,1.2914642699606622,0
one_interferer,-63.0,0,140,860,860,860,860,860,860,860,860,860,0.8676783305979918,1.2772284283444846,0
one_interferer,-63.0,0,141,238,238,238,238,238,238,238,238,238,2.1512055469116174,1.2589330664638891,0
one_interferer,-63.0,0,142,907,907,907,907,907,907,907,907,907,2.681151597541858,1.2867097789762865,0
one_interferer,-63.0,0,143,608,608,608,608,608,608,608,608,608,3.134232507793789,1.2783837850954314,0
one_interferer,-63.0,0,144,74,74,74,74,74,74,74,74,74,2.570796382522599,1.2870455465830402,0
one_interferer,-63.0,0,145,639,639,639,639,639,639,639,639,639,5.162949046642166,1.2643015367982733,0
one_interferer,-63.0,0,146,555,555,555,555,555,555,555,555,555,1.0273179755886221,1.2781218084847854,0
one_interferer,-63.0,0,147,825,825,825,825,825,825,825,825,825,1.0216789115332823,1.2976717624726313,0
one_interferer,-63.0,0,148,469,469,469,469,469,469,469,469,469,3.659326306571866,1.272559620326033,0
one_interferer,-63.0,0,149,31,637,637,637,31,637,637,637,637,0.48704510808775947,1.2690780336756808,1
one_interferer,-63.0,0,150,777,777,777,777,777,777,777,777,777,1.7305713159464753,1.2787716984268611,0
one_interferer,-63.0,0,151,126,126,126,126,126,126,126,126,126,2.7114089373606354,1.2915934007176921,0
one_interferer,-63.0,0,152,83,357,357,357,83,357,357,83,83,0.35713730841223934,1.2931995729092631,1
one_interferer,-63.0,0,153,628,628,628,628,628,628,628,628,628,1.7652152677702921,1.2847137200030945,0
one_interferer,-63.0,0,154,178,178,178,178,178,178,178,178,178,1.0902161408634765,1.264011409650793,0
one_interferer,-63.0,0,155,1007,1007,1007,1007,1007,1007,1007,1007,1007,0.44408572459275936,1.2915226539244096,1
one_interferer,-63.0,0,156,600,96,96,600,600,96,96,96,96,0.15304621943287378,1.2826863794097763,1
one_interferer,-63.0,0,157,413,413,413,413,413,413,413,413,413,2.039685721561054,1.2855681267429746,0
one_interferer,-63.0,0,158,595,595,595,595,595,595,595,595,595,2.813584902024618,1.2691861892170244,0
one_interferer,-63.0,0,159,52,52,52,52,52,52,52,52,52,1.3314692941673054,1.2851469596713994,0
one_interferer,-63.0,0,160,855,855,855,855,855,855,855,855,855,4.721969291991951,1.2803627769831918,0
one_interferer,-63.0,0,161,351,351,351,351,351,351,351,351,351,4.24724706227058,1.2848407678801805,0
one_interferer,-63.0,0,162,617,617,617,617,617,617,617,617,617,0.33515870982369034,1.2795395702028576,1
one_interferer,-63.0,0,163,950,950,950,950,950,950,950,950,950,2.4568826499837404,1.2761468358035544,0
one_interferer,-63.0,0,164,235,235,235,235,235,235,235,235,235,3.216924362140428,1.274232761821897,0
one_interferer,-63.0,0,165,242,392,392,392,392,392,392,392,392,1.3004223538310267,1.2839315406734295,0
one_interferer,-63.0,0,166,420,420,420,420,420,420,420,420,420,1.1310560676044192,1.2790599497956505,0
one_interferer,-63.0,0,167,336,336,336,336,336,336,336,336,336,3.0248319499751553,1.2888247339878922,0
one_interferer,-63.0,0,168,798,798,798,798,798,798,798,798,798,1.0923629639349284,1.2917209870579514,0
one_interferer,-63.0,0,169,1008,1008,1008,1008,1008,1008,1008,1008,1008,1.394158633743652,1.2888656757874575,0
one_interferer,-63.0,0,170,287,287,287,287,287,287,287,287,287,2.664126798220938,1.279410870555184,0
one_interferer,-63.0,0,171,265,265,265,265,265,265,265,265,265,5.663480395241262,1.2682424364634441,0
one_interferer,-63.0,0,172,435,435,435,435,435,435,435,435,435,3.7535784299732806,1.2691931939017098,0
one_interferer,-63.0,0,173,170,170,170,170,170,170,170,170,170,1.9846658304733897,1.2773399101767422,0
one_interferer,-63.0,0,174,863,863,863,863,863,863,863,863,863,1.5130076431677115,1.284706048807716,0
one_interferer,-63.0,0,175,829,829,829,829,829,829,829,829,829,4.69607755870959,1.2939462644198247,0
one_interferer,-63.0,0,176,416,416,416,416,416,416,416,416,416,3.292782249868945,1.2683321213050607,0
one_interferer,-63.0,0,177,937,671,671,671,937,671,671,937,937,0.20224918032726547,1.284407450118162,1
one_interferer,-63.0,0,178,506,506,506,506,506,506,506,506,506,0.7775165099747926,1.2824645032123576,0
one_interferer,-63.0,0,179,343,541,541,540,540,541,541,541,541,0.1574037720149667,1.2705678447249447,1
one_interferer,-63.0,0,180,494,494,494,494,494,494,494,494,494,3.0896089603793344,1.2701380849582273,0
one_interferer,-63.0,0,181,513,513,513,513,513,513,513,513,513,0.7655225624879968,1.252470278385702,0
one_interferer,-63.0,0,182,562,562,562,562,562,562,562,562,562,4.446502067984799,1.2704325795890328,0
one_interferer,-63.0,0,183,723,723,723,723,723,723,723,723,723,4.48212984827605,1.2775651715384524,0
one_interferer,-63.0,0,184,197,197,197,197,197,197,197,197,197,2.5961269017957593,1.2860746141374793,0
one_interferer,-63.0,0,185,954,454,454,454,454,454,454,454,454,2.140537189057289,1.3008319798034391,0
one_interferer,-63.0,0,186,487,487,487,487,487,487,487,487,487,2.5887909415136146,1.28190508264547,0
one_interferer,-63.0,0,187,1019,1019,1019,1019,1019,1019,1019,1019,1019,3.915770451995223,1.2848048353705608,0
one_interferer,-63.0,0,188,413,413,413,413,413,413,413,413,413,2.316372126667577,1.2824546276643594,0
one_interferer,-63.0,0,189,197,197,197,197,197,197,197,197,197,2.7305049852617747,1.2804780318712943,0
one_interferer,-63.0,0,190,320,320,320,320,320,320,320,320,320,1.893414071767436,1.2824559862046512,0
one_interferer,-63.0,0,191,164,164,164,164,164,9,9,9,164,0.6303938597336335,1.2983520457988627,0
one_interferer,-63.0,0,192,477,477,477,477,477,477,477,477,477,1.7243645556107228,1.2836617858509023,0
one_interferer,-63.0,0,193,141,141,141,141,141,141,141,141,141,1.1000294715674328,1.2765549532657499,0
one_interferer,-63.0,0,194,802,802,802,802,802,802,802,802,802,3.0282685207308946,1.2736648278502078,0
one_interferer,-63.0,0,195,595,595,595,595,595,595,595,595,595,0.9651246487956726,1.2929833875064476,0
one_interferer,-63.0,0,196,135,135,135,135,135,135,135,135,135,1.1907304377852639,1.2801218936858345,0
one_interferer,-63.0,0,197,197,197,197,197,197,197,197,197,197,2.855548205291318,1.2839978546087043,0
one_interferer,-63.0,0,198,206,206,206,206,206,206,206,206,206,1.88902591879315,1.2807924162066342,0
one_interferer,-63.0,0,199,654,654,654,654,654,654,654,654,654,3.5696364585033518,1.279390852268737,0
one_interferer,-63.0,1,0,165,165,165,165,165,165,165,165,165,1.8667339131580194,1.271903258568319,0
one_interferer,-63.0,1,1,738,583,583,583,583,583,583,583,583,0.6309884874112109,1.2882985913124223,0
one_interferer,-63.0,1,2,921,921,921,921,921,921,921,921,921,2.2252694237452255,1.2752383107520049,0
one_interferer,-63.0,1,3,319,319,319,319,319,319,319,319,319,1.7814633554753754,1.28660980110307,0
one_interferer,-63.0,1,4,205,205,205,205,205,205,205,205,205,3.839458630047389,1.2714009539684075,0
one_interferer,-63.0,1,5,137,137,137,137,137,137,137,137,137,3.346544741229644,1.2778761144674295,0
one_interferer,-63.0,1,6,974,974,974,974,974,974,974,974,974,3.1306552037507944,1.26660331998777,0
one_interferer,-63.0,1,7,951,951,951,951,951,951,951,951,951,2.3831031669378118,1.2686944924965775,0
one_interferer,-63.0,1,8,939,939,939,939,939,939,939,939,939,2.7047703355711636,1.281137008270551,0
one_interferer,-63.0,1,9,967,967,967,967,967,967,967,967,967,1.0614031312410712,1.2940735794532383,0
one_interferer,-63.0,1,10,372,372,372,372,372,372,372,372,372,0.548195032132275,1.298192805326623,0
one_interferer,-63.0,1,11,43,43,43,43,43,43,43,43,43,3.912100810260395,1.28894954314562,0
one_interferer,-63.0,1,12,829,829,829,829,829,829,829,829,829,2.0861273629636727,1.278678537748691,0
one_interferer,-63.0,1,13,857,857,857,857,857,857,857,857,857,0.18158592792647854,1.2887619539679758,1
one_interferer,-63.0,1,14,888,888,888,888,888,888,888,888,888,3.3418114511670667,1.263228681094372,0
one_interferer,-63.0,1,15,480,480,480,480,480,480,480,480,480,2.562395431321475,1.2673968615520572,0
one_interferer,-63.0,1,16,843,843,843,843,843,843,843,843,843,4.800833318441198,1.29298885857898,0
one_interferer,-63.0,1,17,796,796,796,796,796,796,796,796,796,2.7595578857513443,1.288344928354845,0
one_interferer,-63.0,1,18,658,658,658,658,658,658,658,658,658,3.2943282619578715,1.27109202069828,0
one_interferer,-63.0,1,19,361,462,462,462,462,462,462,462,462,1.2622044892606947,1.273532756638389,0
one_interferer,-63.0,1,20,699,699,699,699,699,699,699,699,699,2.4309557756310163,1.2793104021003578,0
one_interferer,-63.0,1,21,115,898,898,898,115,899,899,115,115,0.22106288504560262,1.265523306380151,1
one_interferer,-63.0,1,22,235,235,235,235,235,235,235,235,235,4.195808243017803,1.28227127260274,0
one_interferer,-63.0,1,23,888,888,888,888,888,888,888,888,888,2.027068980796585,1.277270439911739,0
one_interferer,-63.0,1,24,849,217,217,217,849,217,217,217,217,0.14218083721956598,1.2772199494936627,1
one_interferer,-63.0,1,25,221,221,221,1000,1000,221,221,221,221,0.3856976953314751,1.2782598182729998,1
one_interferer,-63.0,1,26,703,703,703,703,703,703,703,703,703,1.0989367603513673,1.2844413965137074,0
one_interferer,-63.0,1,27,601,601,601,601,601,601,601,601,601,2.6419948276558287,1.3009850540711092,0
one_interferer,-63.0,1,28,20,20,20,20,20,20,20,20,20,1.4802670090443715,1.2824620594198115,0
one_interferer,-63.0,1,29,12,12,12,12,12,12,12,12,12,1.0687778854674508,1.283386782365069,0
one_interferer,-63.0,1,30,467,467,467,467,467,467,467,467,467,3.113096729771063,1.2716903001509663,0
one_interferer,-63.0,1,31,410,410,410,410,410,410,410,410,410,4.727427490346569,1.2799214900706621,0
one_interferer,-63.0,1,32,199,199,199,199,199,199,199,199,199,2.5262324964123506,1.2831180984422634,0
one_interferer,-63.0,1,33,1020,1020,1020,1020,1020,1020,1020,1020,1020,2.9598774351276003,1.2810372040522824,0
one_interferer,-63.0,1,34,142,142,142,142,142,142,142,142,142,3.523524182128075,1.275585370596745,0
one_interferer,-63.0,1,35,619,619,619,619,619,619,619,619,619,1.416620216401151,1.2739360163336324,0
one_interferer,-63.0,1,36,426,426,426,426,426,426,426,426,426,2.6672472050392333,1.285608314894503,0
one_interferer,-63.0,1,37,84,84,84,84,84,84,84,84,84,1.126067109240284,1.2786414347608626,0
one_interferer,-63.0,1,38,829,829,829,829,829,829,829,829,829,0.34725667477540667,1.2946900866317976,1
one_interferer,-63.0,1,39,361,361,361,361,361,361,361,361,361,5.664359602531224,1.2772283679036749,0
one_interferer,-63.0,1,40,574,574,574,574,574,574,574,574,574,2.7051995784874783,1.2812439257146866,0
one_interferer,-63.0,1,41,736,736,736,736,736,736,736,736,736,2.172219327193967,1.2975237081384954,0
one_interferer,-63.0,1,42,520,520,520,520,520,520,520,520,520,0.7903405618634484,1.275568124108037,0
one_interferer,-63.0,1,43,973,973,973,973,973,973,973,973,973,5.2143999528911875,1.2752906454537218,0
one_interferer,-63.0,1,44,555,555,555,555,555,555,555,555,555,2.989829488299694,1.278294222191513,0
one_interferer,-63.0,1,45,437,437,437,437,437,437,437,437,437,3.042839410836999,1.2728045352232256,0
one_interferer,-63.0,1,46,981,981,981,981,981,981,981,981,981,6.346210121051544,1.2720189645276727,0
one_interferer,-63.0,1,47,132,416,416,416,416,416,416,416,416,0.6452653538255324,1.271327771055903,0
