trial_id,packet_id,reference_id,esn0_db,seed,estimate_available,strict_packet_delivered,decoder_aware_packet_delivered,oracle_packet_delivered,strict_gate,decoder_aware_gate,candidate_count,unique_integer_cfo_pool,sfd_peaks_examined,crc_success_count_top_max,sync_ms,list_generation_ms,list_decode_all_ms,selected_sync_cfo_reproduced,selected_sync_start_reproduced,list1_crc_accept,list1_packet_delivered,list1_crc_false_delivery,list1_selected_candidate,list1_operational_attempts,list2_crc_accept,list2_packet_delivered,list2_crc_false_delivery,list2_selected_candidate,list2_operational_attempts,list4_crc_accept,list4_packet_delivered,list4_crc_false_delivery,list4_selected_candidate,list4_operational_attempts
exp0_000000_rxg20_0_fulltrim:14:20260822,exp0_000000_rxg20_0_fulltrim,0,14.0,20260822,1,0,0,1,0,0,4,32,32,0,8907.266599999275,42.18369999944116,98.46040000047651,1,1,0,0,0,,1,0,0,0,,2,0,0,0,,4
exp0_000002_rxg20_0_fulltrim:14:20260822,exp0_000002_rxg20_0_fulltrim,2,14.0,20260822,1,1,1,1,1,1,4,32,32,2,9813.502599998174,45.50120000203606,749.202899998636,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000003_rxg20_0_fulltrim:14:20260822,exp0_000003_rxg20_0_fulltrim,3,14.0,20260822,1,0,1,1,0,1,4,32,32,1,8882.617999999638,42.542799998045666,602.4244000000181,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000004_rxg20_0_fulltrim:14:20260822,exp0_000004_rxg20_0_fulltrim,4,14.0,20260822,1,0,1,1,0,1,4,31,32,1,9347.449400000187,42.010500001197215,668.2622000007541,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000005_rxg20_0_fulltrim:14:20260822,exp0_000005_rxg20_0_fulltrim,5,14.0,20260822,1,0,0,1,1,1,4,32,32,1,10077.040399999532,47.52999999982421,443.443500000285,1,1,0,0,0,,1,1,1,0,1,2,1,1,0,1,2
exp0_000006_rxg20_0_fulltrim:14:20260822,exp0_000006_rxg20_0_fulltrim,6,14.0,20260822,1,1,1,1,1,1,4,31,32,1,10049.119799998152,44.84059999958845,430.6663000024855,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000007_rxg20_0_fulltrim:14:20260822,exp0_000007_rxg20_0_fulltrim,7,14.0,20260822,1,1,1,1,1,1,4,32,32,1,10075.656400000298,42.20029999851249,468.8255000000936,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000008_rxg20_0_fulltrim:14:20260822,exp0_000008_rxg20_0_fulltrim,8,14.0,20260822,1,1,1,1,1,1,4,32,32,2,9431.39009999868,41.20069999771658,562.6554999980726,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000000_rxg20_0_fulltrim:15:20260821,exp0_000000_rxg20_0_fulltrim,0,15.0,20260821,1,1,1,1,1,1,4,31,32,1,9610.477800000808,47.95000000012806,431.6374000009091,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000002_rxg20_0_fulltrim:15:20260821,exp0_000002_rxg20_0_fulltrim,2,15.0,20260821,1,0,1,1,0,1,4,31,32,2,10013.992000000144,45.02810000121826,598.4085999989475,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000003_rxg20_0_fulltrim:15:20260821,exp0_000003_rxg20_0_fulltrim,3,15.0,20260821,1,1,1,1,1,1,4,31,32,2,9261.302300001262,47.41499999727239,567.1240000010584,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000004_rxg20_0_fulltrim:15:20260821,exp0_000004_rxg20_0_fulltrim,4,15.0,20260821,1,1,1,1,1,1,4,30,32,1,10121.98559999888,42.03429999688524,679.800099998829,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000005_rxg20_0_fulltrim:15:20260821,exp0_000005_rxg20_0_fulltrim,5,15.0,20260821,1,1,1,1,1,1,4,31,32,1,9571.514100000059,43.420900001365226,726.4369000004081,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000006_rxg20_0_fulltrim:15:20260821,exp0_000006_rxg20_0_fulltrim,6,15.0,20260821,1,1,1,1,1,1,4,32,32,1,10349.679499999183,42.39579999921261,702.4434000013571,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000007_rxg20_0_fulltrim:15:20260821,exp0_000007_rxg20_0_fulltrim,7,15.0,20260821,1,1,1,1,1,1,4,31,32,2,10245.475699997769,42.540599999483675,712.4217999989924,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000008_rxg20_0_fulltrim:15:20260821,exp0_000008_rxg20_0_fulltrim,8,15.0,20260821,1,1,1,1,1,1,4,32,32,2,9220.837000000756,46.17789999974775,406.83139999964624,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000000_rxg20_0_fulltrim:15:20260822,exp0_000000_rxg20_0_fulltrim,0,15.0,20260822,1,0,1,1,0,1,4,31,32,1,9505.027200000768,44.164200000523124,432.02060000112397,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000002_rxg20_0_fulltrim:15:20260822,exp0_000002_rxg20_0_fulltrim,2,15.0,20260822,1,1,1,1,1,1,4,32,32,3,10395.677200001955,41.04650000226684,689.5492000003287,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000003_rxg20_0_fulltrim:15:20260822,exp0_000003_rxg20_0_fulltrim,3,15.0,20260822,1,0,1,1,0,1,4,32,32,1,10421.204599999328,41.165900001942646,708.7692999994033,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000004_rxg20_0_fulltrim:15:20260822,exp0_000004_rxg20_0_fulltrim,4,15.0,20260822,1,0,1,1,0,1,4,31,32,1,9030.125900000712,46.728600002097664,777.2251999995206,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000005_rxg20_0_fulltrim:15:20260822,exp0_000005_rxg20_0_fulltrim,5,15.0,20260822,1,0,0,1,1,1,4,32,32,1,9977.225899998302,46.9401000009384,671.4854999991076,1,1,0,0,0,,1,1,1,0,1,2,1,1,0,1,2
