raw_fft_bin,trial_count,groundtruth_count,savaux_lambda_mean,savaux_lambda_median,colored_ml_lambda_mean,colored_ml_lambda_median,colored_minus_savaux_lambda_mean,model_full_to_savaux_snr_gain_db_mean,gt_savaux_lambda_mean,gt_colored_ml_lambda_mean
474,392,0,1.0824104359939788,0.7490061819553375,1.0910117976101381,0.7305876910686493,0.008601361616159438,0.17049738392233849,,
475,392,0,1.1980536904857775,0.7415696680545807,1.2042805996267019,0.7558996975421906,0.006226909140924382,0.17098934203386307,,
476,392,0,0.9966762090512855,0.5830566883087158,0.9818253438211193,0.5801224410533905,-0.014850865230166202,0.17147673293948174,,
477,392,0,1.0746597450533026,0.7156842648983002,1.0802832388755856,0.6931001842021942,0.005623493822282881,0.17197811789810658,,
478,392,0,1.1133635754168998,0.734654039144516,1.1253091863057176,0.7602511942386627,0.01194561088881788,0.17252503521740437,,
479,392,0,1.058578940757018,0.6103077828884125,1.060579799696992,0.6273371279239655,0.002000858939973856,0.17306010611355305,,
480,392,0,1.1358020478299444,0.6751565933227539,1.133761473918899,0.6496596038341522,-0.00204057391104526,0.1735536027699709,,
481,392,0,1.0862987710516996,0.6590120494365692,1.0830773980509993,0.6218976378440857,-0.003221373000700141,0.17397551611065865,,
482,392,0,1.1090175897377181,0.6744236350059509,1.080596943455986,0.6333449482917786,-0.02842064628173236,0.17428508028388023,,
483,392,0,1.172080259408733,0.6705218255519867,1.1918587474418538,0.6723052561283112,0.019778488033120902,0.17442807741463184,,
484,392,0,1.0700853079140462,0.6898990869522095,1.0796077230939884,0.6670721471309662,0.009522415179942203,0.17436658963561058,,
485,392,0,1.1154304471474832,0.7626128494739532,1.1365618809881086,0.7985357344150543,0.02113143384062545,0.17402567341923714,,
486,392,0,1.0798678038207035,0.6566905677318573,1.1146242755651712,0.6283477544784546,0.03475647174446767,0.173368776217103,,
487,392,0,1.091212876340789,0.6846939325332642,1.0879411706807833,0.6488364040851593,-0.003271705660005623,0.1723683439195156,,
488,392,0,1.1547025013715029,0.7142025530338287,1.1731106510982203,0.686332494020462,0.018408149726717372,0.171032952144742,,
489,392,0,1.0895110838315973,0.7864782214164734,1.1053516271245567,0.7168558239936829,0.015840543292959374,0.16932853497564793,,
490,392,0,1.2002639863947255,0.647949606180191,1.208992406332091,0.6674421727657318,0.008728419937365195,0.1672570388764143,,
491,392,0,1.0395216968023975,0.6592404842376709,1.045075139033487,0.6312016844749451,0.005553442231089599,0.16488950699567795,,
492,392,0,1.0256525597497061,0.6743435859680176,1.0188172268524618,0.6295231580734253,-0.006835332897244185,0.16218095272779465,,
493,392,0,1.1335289394034533,0.6830423474311829,1.130438931796246,0.6396933495998383,-0.0030900076072073865,0.15918153151869774,,
494,392,8,2.646615353760687,0.7525677382946014,2.7149259532724295,0.6956914663314819,0.0683105995117423,0.1559246089309454,74.65463066101074,77.67015600204468
495,392,0,1.0850534311820021,0.6833936274051666,1.0869368422153995,0.6490003168582916,0.0018834110333973884,0.15238777175545692,,
496,392,0,1.0596007370340699,0.6165452301502228,1.060074191510485,0.6179055273532867,0.00047345447641493257,0.148626871407032,,
497,392,0,1.201826777207019,0.7298407256603241,1.1992435904970506,0.6640768647193909,-0.002583186709968259,0.14470013789832592,,
498,392,0,0.9932388440690876,0.6073708236217499,0.9853945301416686,0.5623259246349335,-0.007844313927419034,0.14060694351792336,,
499,392,0,1.0913741074963377,0.7515166103839874,1.0724011472882513,0.7481331527233124,-0.018972960208086486,0.13638806715607643,,
500,392,0,1.0353163156865701,0.656903475522995,1.0211364380514596,0.6406174302101135,-0.01417987763511055,0.1321050077676773,,
501,392,0,1.0717438049804495,0.6778988838195801,1.0440720906641514,0.6943780779838562,-0.027671714316298043,0.12777366489171982,,
502,392,0,1.0349985372945876,0.5985695123672485,1.0472266468628844,0.5999617576599121,0.012228109568296735,0.12343439273536205,,
503,392,0,1.023740858352762,0.5635851919651031,1.010125429506119,0.5695793926715851,-0.01361542884664306,0.11914116144180298,,
504,392,0,1.1355744223995372,0.6740693151950836,1.1421705425380757,0.6777747869491577,0.006596120138538583,0.11494668200612068,,
505,392,0,1.1141941690228272,0.6777978837490082,1.0942050070075404,0.6520566344261169,-0.01998916201528675,0.11088547296822071,,
506,392,0,1.1041213738724913,0.6431173086166382,1.10677991452988,0.6258437633514404,0.002658540657388845,0.10698812641203403,,
507,392,0,1.075039809011992,0.6696653366088867,1.0645849128825144,0.6519290506839752,-0.010454896129477692,0.10330263245850801,,
508,392,0,1.205172408919791,0.7556124031543732,1.1948075918555,0.7290703356266022,-0.010364817064291112,0.09981730673462152,,
509,392,0,1.0542545282268274,0.5809433162212372,1.066984306425759,0.600751519203186,0.012729778198931575,0.09655001480132341,,
510,392,0,1.0790777632679163,0.5999626815319061,1.0885050137079146,0.5983946323394775,0.009427250439998437,0.0935017541050911,,
511,392,0,1.084225248227048,0.7069399654865265,1.078389972475968,0.6646248698234558,-0.005835275751080041,0.09067424479871988,,
512,392,0,1.1124265602170917,0.6942249536514282,1.1224200122667345,0.7002498805522919,0.00999345204964273,0.0880821943283081,,
513,392,0,1.1600955543345868,0.6858705580234528,1.1868428812577265,0.7239725291728973,0.026747326923139886,0.08571053855121136,,
514,392,0,1.1033630112593824,0.6815071403980255,1.1355897968316306,0.6683264374732971,0.03222678557224809,0.08353350590914488,,
515,392,0,1.0987924614553553,0.6557088494300842,1.1062927227428692,0.6848849654197693,0.007500261287513778,0.08154606074094772,,
516,392,0,1.1173178839119513,0.713553786277771,1.1159584474430908,0.7060606777667999,-0.0013594364688603435,0.07973879389464855,,
517,392,0,1.1730679088208007,0.6394320726394653,1.179471044714458,0.6408954858779907,0.006403135893657348,0.07809976022690535,,
518,392,0,1.0725259644345246,0.6136245727539062,1.0821169872040033,0.6605467796325684,0.009591022769478624,0.07661045715212822,,
519,392,0,0.9729861281396422,0.5672845244407654,0.975255637370259,0.5754368305206299,0.0022695092306168254,0.07527767214924097,,
520,392,0,1.036268212018494,0.5873918831348419,1.0330112520118282,0.6047677099704742,-0.003256960006665952,0.07408239971846342,,
521,392,0,1.108776832002985,0.6873507499694824,1.0987297744075626,0.6644601821899414,-0.01004705759542234,0.07301783747971058,,
522,392,0,1.1043349852623912,0.7229680716991425,1.11039212430389,0.7042007148265839,0.006057139041498589,0.07207489479333162,,
523,392,0,1.1121092867796674,0.6793918311595917,1.0944746730692343,0.6777104437351227,-0.017634613710433025,0.07126657757908106,,
524,392,0,1.0581096215552248,0.6390635669231415,1.0597248032202942,0.6198000609874725,0.0016151816650692905,0.07060796394944191,,
525,392,0,1.0917472894530986,0.623041182756424,1.0854371274718706,0.6299749910831451,-0.006310161981227979,0.07009278051555157,,
