dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,structured_path_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,structured_gain_vs_traditional_fft,savaux_gain_vs_current,structured_gain_vs_current,structured_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,structured_path_crc_valid,path_override_count,path_fix_count,path_break_count,mean_path_ratio,mode_best_path_name,winner_by_symbol_ser
0_0_0_10_14_8,-25.0,9,9,9,33,35,1.0,0.7428571428571429,0.5428571428571428,0.45714285714285713,0.45714285714285713,0.4571428571428572,0.5428571428571429,0.5428571428571429,0.08571428571428569,0.08571428571428569,0.0,0,0,0,0,0,1,0,0,2.8182073142333883,linear_a1_b2,savaux_paper
0_0_0_10_14_8,-26.0,0,0,0,33,35,0.9714285714285714,0.6857142857142857,0.5142857142857142,0.2,0.2,0.4571428571428572,0.7714285714285714,0.7714285714285714,0.3142857142857142,0.3142857142857142,0.0,0,0,0,0,0,0,0,0,2.5901958788578545,piece1of2_30,savaux_paper
0_0_0_10_14_8,-26.0,1,1,1,33,35,0.9142857142857143,0.6571428571428571,0.2857142857142857,0.11428571428571428,0.14285714285714285,0.6285714285714286,0.7999999999999999,0.7714285714285714,0.17142857142857143,0.14285714285714285,-0.028571428571428567,0,0,0,0,0,1,0,1,2.819664121648701,linear_a1_b1,savaux_paper
0_0_0_10_14_8,-26.0,2,2,2,33,35,0.8571428571428571,0.4857142857142857,0.2857142857142857,0.11428571428571428,0.08571428571428572,0.5714285714285714,0.7428571428571428,0.7714285714285714,0.17142857142857143,0.19999999999999998,0.028571428571428567,0,0,0,0,0,1,1,0,2.7272679527049704,linear_a1_b2,structured_path
0_0_0_10_14_8,-26.0,3,3,3,33,35,0.7714285714285715,0.4857142857142857,0.34285714285714286,0.11428571428571428,0.11428571428571428,0.4285714285714286,0.6571428571428571,0.6571428571428571,0.2285714285714286,0.2285714285714286,0.0,0,0,0,0,0,0,0,0,2.593483688070206,piece3of4_31,savaux_paper
0_0_0_10_14_8,-26.0,4,4,4,33,35,0.8571428571428571,0.6285714285714286,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,2.6960479962188497,period2_12,savaux_paper
0_0_0_10_14_8,-26.0,5,5,5,33,35,0.9714285714285714,1.0,0.8571428571428571,0.6571428571428571,0.6571428571428571,0.11428571428571432,0.3142857142857143,0.3142857142857143,0.19999999999999996,0.19999999999999996,0.0,0,0,0,0,0,0,0,0,2.836643234970996,piece1of4_21,savaux_paper
0_0_0_10_14_8,-26.0,6,6,6,33,35,0.9142857142857143,0.8285714285714286,0.7714285714285715,0.6,0.6285714285714286,0.1428571428571428,0.3142857142857143,0.2857142857142857,0.17142857142857149,0.1428571428571429,-0.02857142857142858,0,0,0,0,0,1,0,1,2.890319931552509,period2_21,savaux_paper
0_0_0_10_14_8,-26.0,7,7,7,33,35,0.9714285714285714,0.8857142857142857,0.8571428571428571,0.6857142857142857,0.6857142857142857,0.11428571428571432,0.2857142857142857,0.2857142857142857,0.17142857142857137,0.17142857142857137,0.0,0,0,0,0,0,1,0,0,2.9639586398806888,piece1of2_23,savaux_paper
0_0_0_10_14_8,-26.0,8,8,8,33,35,0.9428571428571428,0.8571428571428571,0.7428571428571429,0.5142857142857142,0.5142857142857142,0.19999999999999996,0.4285714285714286,0.4285714285714286,0.22857142857142865,0.22857142857142865,0.0,0,0,0,0,0,4,0,0,3.076305095949862,period2_30,savaux_paper
0_0_0_10_14_8,-26.0,9,9,9,33,35,1.0,0.8571428571428571,0.6857142857142857,0.5714285714285714,0.5714285714285714,0.3142857142857143,0.4285714285714286,0.4285714285714286,0.11428571428571432,0.11428571428571432,0.0,0,0,0,0,0,1,0,0,2.921951471382673,linear_a1_b2,savaux_paper
0_0_0_10_14_16,-22.0,1,0,1,33,35,0.8285714285714286,0.34285714285714286,0.17142857142857143,0.08571428571428572,0.08571428571428572,0.6571428571428573,0.7428571428571429,0.7428571428571429,0.08571428571428572,0.08571428571428572,0.0,0,0,0,0,0,0,0,0,2.468607043864463,piece1of2_03,savaux_paper
0_0_0_10_14_16,-22.0,2,1,2,33,35,0.8285714285714286,0.2571428571428571,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.7714285714285715,0.7428571428571429,0.7428571428571429,-0.028571428571428574,-0.028571428571428574,0.0,0,0,0,0,0,0,0,0,2.5366895490407244,linear_a1_b2,current_selected
0_0_0_10_14_16,-22.0,3,2,3,33,35,0.7428571428571429,0.2857142857142857,0.05714285714285714,0.0,0.0,0.6857142857142857,0.7428571428571429,0.7428571428571429,0.05714285714285714,0.05714285714285714,0.0,0,0,0,1,1,0,0,0,2.3365446042064835,piece1of4_12,savaux_paper
0_0_0_10_14_16,-22.0,5,3,5,33,35,0.6571428571428571,0.22857142857142856,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.3001131865087827,linear_a3_b0,current_selected
0_0_0_10_14_16,-22.0,6,4,6,33,35,0.6857142857142857,0.2,0.05714285714285714,0.0,0.0,0.6285714285714286,0.6857142857142857,0.6857142857142857,0.05714285714285714,0.05714285714285714,0.0,0,0,0,1,1,0,0,0,2.1892240603548383,linear_a1_b1,savaux_paper
0_0_0_10_14_16,-22.0,8,5,8,33,35,0.7714285714285715,0.2,0.08571428571428572,0.0,0.0,0.6857142857142857,0.7714285714285715,0.7714285714285715,0.08571428571428572,0.08571428571428572,0.0,0,0,0,1,1,0,0,0,2.4212011017498045,linear_a1_b3,savaux_paper
