dataset,target_snr_db,packet_index,symbol_index,gt_in_top_l,v3_is_error,multi_is_error,gt_energy_rank,gt_phase_rank,gt_combined_rank,gt_energy_score,gt_phase_score,gt_combined_score,top1_bin,gt_bin,v3_bin,multi_bin,clean_line_r2,clean_line_rmse_pi
0_0_0_10_14_16,-22.0,6,32,1,0,1,8,16,16,0.7619465040279202,0.23301550998350612,0.33880170879238897,324,760,760,324,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,33,1,0,0,1,12,7,1.0,0.6520227321023639,0.7216181856818913,584,584,584,584,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,6,34,1,1,1,2,8,5,0.8927350023558948,0.9117624345838389,0.9079569481382501,372,932,777,372,0.999375223348867,0.14092329519974578
0_0_0_10_14_16,-22.0,8,0,1,0,0,1,23,19,1.0,0.01080001316027962,0.2086400105282237,803,803,803,803,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,1,1,0,0,1,1,1,1.0,0.9973205015443878,0.9978564012355102,711,711,711,711,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,2,1,0,0,1,15,11,1.0,0.35047728068608086,0.4803818245488647,922,922,922,922,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,3,1,0,0,1,16,16,1.0,0.28440920956968174,0.4275273676557454,691,691,691,691,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,4,1,0,0,1,5,1,1.0,0.9420354399393638,0.953628351951491,86,86,86,86,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,5,1,0,0,1,22,16,1.0,0.008294787958803784,0.20663583036704303,468,468,468,468,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,6,1,0,0,1,6,5,1.0,0.7566602281293844,0.8053281825035075,89,89,89,89,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,7,1,0,0,1,11,7,1.0,0.7728949489474097,0.8183159591579279,713,713,713,713,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,8,1,0,0,1,22,21,1.0,0.038126045224868566,0.23050083617989486,865,865,865,865,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,9,1,0,0,1,9,5,1.0,0.7640467671807307,0.8112374137445846,492,492,492,492,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,10,1,0,0,1,11,7,1.0,0.50008386645423,0.600067093163384,765,765,765,765,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,11,1,0,0,1,18,16,1.0,0.14319365499767317,0.31455492399813856,1023,1023,1023,1023,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,12,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,8,13,1,0,0,1,19,14,1.0,0.09852353178999157,0.27881882543199327,562,562,562,562,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,14,1,0,0,1,12,9,1.0,0.6695758620144884,0.7356606896115907,478,478,478,478,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,15,1,0,0,1,3,1,1.0,0.9097297783320004,0.9277838226656003,267,267,267,267,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,16,1,0,0,1,23,20,1.0,0.019754503962112757,0.21580360316969022,917,917,917,917,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,17,1,0,0,1,11,10,1.0,0.5795318741584788,0.6636254993267832,656,656,656,656,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,18,1,0,0,1,12,8,1.0,0.671512129020319,0.7372097032162552,889,889,889,889,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,19,1,0,0,1,21,19,1.0,0.00582031777586467,0.20465625422069175,510,510,510,510,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,20,1,0,1,8,8,8,0.8865593389719566,0.7353086281174153,0.7655587702883235,464,860,860,464,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,21,1,0,1,15,3,4,0.6249943829307608,0.8947045299744009,0.8407625005656729,46,553,553,46,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,22,1,0,0,1,24,21,1.0,0.0004666502501649572,0.200373320200132,629,629,629,629,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,23,1,0,0,1,12,6,1.0,0.6849512387125732,0.7479609909700586,759,759,759,759,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,24,1,0,0,1,6,1,1.0,0.8841767059978312,0.9073413647982649,874,874,874,874,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,25,1,0,0,1,24,20,1.0,0.00014346530416747827,0.200114772243334,720,720,720,720,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,26,1,0,1,2,7,5,0.9206097253127822,0.8611965452943484,0.8730791812980352,96,314,314,96,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,27,1,0,1,3,13,11,0.9218893399279192,0.3812978561055918,0.48941615287005735,620,602,602,620,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,28,1,0,0,1,23,20,1.0,0.002633717031707339,0.2021069736253659,7,7,7,7,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,29,1,0,0,1,5,3,1.0,0.880588300818769,0.9044706406550154,610,610,610,610,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,30,1,0,0,1,2,1,1.0,0.9843870283040195,0.9875096226432156,775,775,775,775,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,31,1,0,0,1,23,20,1.0,0.021817000530222508,0.21745360042417802,920,920,920,920,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,32,1,0,0,1,10,8,1.0,0.5944606791828713,0.675568543346297,753,753,753,753,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,33,1,0,1,3,8,7,0.7145666025108586,0.7339878604751471,0.7301036088822894,548,586,586,548,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,8,34,1,0,0,1,24,20,1.0,0.009370961642482911,0.20749676931398633,91,91,91,91,0.9996001499352228,0.1390416353093804
0_0_0_10_14_16,-22.0,9,0,1,0,0,1,6,1,1.0,0.8606721197999365,0.8885376958399493,222,222,222,222,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,1,1,0,0,1,15,11,1.0,0.33084923801934357,0.4646793904154749,826,826,826,826,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,2,1,0,0,1,13,9,1.0,0.5391568276568754,0.6313254621255004,922,922,922,922,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,3,1,1,1,2,4,4,0.8606804981616942,0.9083996124214804,0.8988557895695233,827,691,827,827,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,4,1,0,0,1,20,18,1.0,0.13401707866906648,0.3072136629352532,86,86,86,86,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,5,1,0,0,1,3,1,1.0,0.9762459927896487,0.980996794231719,468,468,468,468,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,6,1,0,0,1,23,19,1.0,0.02819011368197849,0.22255209094558281,89,89,89,89,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,7,1,0,0,1,9,6,1.0,0.6999488372460753,0.7599590697968603,713,713,713,713,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,8,1,0,0,1,15,13,1.0,0.32313162546012997,0.458505300368104,865,865,865,865,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,9,1,0,0,1,18,16,1.0,0.1219751565495415,0.29758012523963323,492,492,492,492,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,10,1,0,1,2,2,1,0.845571548441193,0.9963593950753261,0.9662018257484996,764,765,765,764,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,11,1,0,0,1,21,18,1.0,0.006580868878875712,0.20526469510310058,1023,1023,1023,1023,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,12,1,0,0,1,7,6,1.0,0.7575592339303596,0.8060473871442877,597,597,597,597,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,13,1,0,0,1,14,12,1.0,0.3865869553972066,0.5092695643177654,562,562,562,562,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,14,1,0,0,1,12,11,1.0,0.40536435972292983,0.5242914877783439,478,478,478,478,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,15,1,0,1,4,5,2,0.9091677311836909,0.9577953874400899,0.9480698561888101,375,267,267,375,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,16,1,0,0,1,20,18,1.0,0.08052272419591622,0.264418179356733,917,917,917,917,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,17,1,0,0,1,8,7,1.0,0.7240787241554618,0.7792629793243695,656,656,656,656,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,18,1,0,1,3,12,11,0.8984934359579464,0.5574308959420725,0.6256434039452473,154,889,889,154,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,19,1,0,1,5,21,21,0.8141490019094996,0.09163039614016116,0.23613411729402886,193,510,510,193,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,20,1,0,1,5,5,2,0.8865130885084176,0.980423769284577,0.9616416331293451,913,860,860,913,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,21,1,0,0,1,24,20,1.0,0.08695566467423549,0.26956453173938844,553,553,553,553,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,22,1,0,1,4,8,7,0.6330526904172948,0.8003139543195044,0.7668617015390625,444,629,629,444,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,23,1,0,0,1,10,9,1.0,0.7134327135337508,0.7707461708270007,759,759,759,759,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,24,1,0,0,1,20,19,1.0,0.052795564498585634,0.24223645159886853,874,874,874,874,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,25,1,0,0,1,7,3,1.0,0.8763647951652481,0.9010918361321985,720,720,720,720,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,26,1,0,1,6,10,10,0.817485412944014,0.6129700336423406,0.6538731095026753,313,314,314,313,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,27,1,0,0,1,19,18,1.0,0.2865854492302784,0.42926835938422275,602,602,602,602,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,28,1,1,1,16,4,3,0.6906310316995521,0.9963377850714114,0.9351964343970396,285,7,356,285,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,29,1,1,1,2,23,22,0.9289633819388853,0.007148290614949648,0.1915113088797368,609,610,176,609,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,30,1,0,0,1,19,15,1.0,0.22934503634080955,0.38347602907264766,794,794,794,794,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,31,1,0,0,1,3,1,1.0,0.9920872660394329,0.9936698128315464,905,905,905,905,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,32,0,,,,,,,,,,,,,,
0_0_0_10_14_16,-22.0,9,33,1,0,1,4,13,13,0.8490328147163133,0.4657824947192513,0.5424325587186638,1009,580,580,1009,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,9,34,1,0,0,1,12,9,1.0,0.672708846905616,0.7381670775244928,89,89,89,89,0.9996667624003006,0.1397757614496968
0_0_0_10_14_16,-22.0,10,0,1,0,0,1,20,16,1.0,0.03168014285774684,0.2253441142861975,803,803,803,803,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,1,1,0,0,1,23,18,1.0,0.001157636429574338,0.2009261091436595,826,826,826,826,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,2,1,0,0,1,23,21,1.0,0.004789685180196623,0.2038317481441573,922,922,922,922,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,3,1,0,0,1,23,19,1.0,0.04006631447124115,0.23205305157699294,691,691,691,691,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,4,1,1,0,1,17,15,1.0,0.2531001316657455,0.4024801053325964,107,107,512,107,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,5,1,0,1,5,20,20,0.8481001491855901,0.14293964357158445,0.2839717446943856,816,468,468,816,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,6,1,0,0,1,17,15,1.0,0.09064655227838886,0.2725172418227111,89,89,89,89,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,7,1,0,0,1,18,15,1.0,0.1881429789763011,0.3505143831810409,713,713,713,713,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,8,1,0,1,5,14,14,0.8279869889474981,0.38098134082929824,0.47038247045293824,492,865,865,492,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,9,1,0,1,6,9,9,0.7350587167160288,0.6839407764017442,0.6941643644646012,288,492,492,288,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,10,1,0,0,1,8,7,1.0,0.7078579020230648,0.7662863216184519,765,765,765,765,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,11,1,0,0,1,11,10,1.0,0.6815077805539879,0.7452062244431903,1023,1023,1023,1023,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,12,1,0,1,4,13,12,0.8477472251105349,0.626296314537309,0.6705864966519542,130,597,597,130,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,13,1,0,0,1,2,1,1.0,0.9876435936846284,0.9901148749477027,562,562,562,562,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,14,1,0,0,1,3,1,1.0,0.9592573730346329,0.9674058984277063,478,478,478,478,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,15,1,0,0,1,5,1,1.0,0.9673591566717394,0.9738873253373916,267,267,267,267,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,16,1,0,1,3,6,4,0.8573058514489226,0.852821314851637,0.8537182221710942,426,917,917,426,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,17,1,0,0,1,12,7,1.0,0.6353963583947573,0.708317086715806,656,656,656,656,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,18,1,0,0,1,16,12,1.0,0.4671215299772763,0.573697223981821,889,889,889,889,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,19,1,0,1,2,15,14,0.9490730428192952,0.3279089776952755,0.45214179072007943,122,510,510,122,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,20,1,0,0,1,16,13,1.0,0.2602802558626601,0.4082242046901281,860,860,860,860,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,21,1,0,0,1,23,17,1.0,0.0045693118528666865,0.20365544948229336,553,553,553,553,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,22,1,0,0,1,17,15,1.0,0.09071216657270809,0.27256973325816647,629,629,629,629,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,23,1,0,0,1,15,14,1.0,0.10549116366899436,0.2843929309351955,759,759,759,759,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,24,1,0,0,1,14,12,1.0,0.34928360380720685,0.47942688304576553,874,874,874,874,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,25,1,0,0,1,15,15,1.0,0.4390259890423646,0.5512207912338918,720,720,720,720,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,26,1,0,0,1,8,6,1.0,0.7827461883244482,0.8261969506595586,314,314,314,314,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,27,1,0,0,1,3,1,1.0,0.9323630563779599,0.945890445102368,602,602,602,602,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,28,1,0,0,1,2,1,1.0,0.9882650236912096,0.9906120189529677,7,7,7,7,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,29,1,0,0,1,10,6,1.0,0.6000908646364452,0.6800726917091562,610,610,610,610,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,30,1,0,0,1,12,10,1.0,0.5575605053782454,0.6460484043025964,826,826,826,826,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,31,1,0,1,2,13,11,0.974533559376551,0.29237042178559924,0.4288030493037896,903,904,904,903,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,32,1,0,0,1,19,17,1.0,0.2736235165153904,0.41889881321231237,760,760,760,760,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,33,1,0,0,1,22,21,1.0,0.04002517200778671,0.2320201376062294,577,577,577,577,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,10,34,1,0,0,1,20,18,1.0,0.08002008595195526,0.26401606876156425,930,930,930,930,4.165900716723847e-06,3.818918451351748
0_0_0_10_14_16,-22.0,11,0,1,0,0,1,4,1,1.0,0.9320341107793488,0.9456272886234791,222,222,222,222,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,1,1,0,0,1,18,16,1.0,0.21202262629775953,0.36961810103820764,711,711,711,711,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,2,1,0,0,1,23,18,1.0,0.00039144020513709465,0.2003131521641097,871,871,871,871,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,3,1,0,0,1,15,15,1.0,0.3319957541740587,0.46559660333924696,691,691,691,691,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,4,1,0,0,1,13,9,1.0,0.24862770551299618,0.39890216441039694,86,86,86,86,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,5,1,0,0,1,2,1,1.0,0.9982941599418065,0.9986353279534452,468,468,468,468,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,6,1,0,0,1,21,20,1.0,0.18890586468842502,0.35112469175074,89,89,89,89,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,7,1,0,1,2,10,10,0.994030702559665,0.6929703058069728,0.7531823851575113,707,713,713,707,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,8,1,0,0,1,14,13,1.0,0.3652844515216831,0.4922275612173465,865,865,865,865,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,9,1,0,0,1,8,6,1.0,0.6988186720230027,0.7590549376184021,492,492,492,492,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,10,1,0,0,1,5,1,1.0,0.9135956861684964,0.9308765489347972,765,765,765,765,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,11,1,0,0,1,16,16,1.0,0.45391432650505015,0.5631314612040401,1023,1023,1023,1023,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,12,1,0,0,1,13,7,1.0,0.5257827571470394,0.6206262057176315,597,597,597,597,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,13,1,0,0,1,16,15,1.0,0.3340218920363148,0.4672175136290519,562,562,562,562,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,14,1,0,0,1,18,17,1.0,0.09074212302449702,0.27259369841959763,478,478,478,478,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,15,1,0,0,1,13,10,1.0,0.4350478073247555,0.5480382458598044,267,267,267,267,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,16,1,0,0,1,4,1,1.0,0.8471933882535458,0.8777547106028367,917,917,917,917,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,17,1,0,0,1,24,21,1.0,0.009886469133217668,0.20790917530657416,656,656,656,656,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,18,1,0,0,1,24,18,1.0,0.0004778031288439899,0.2003822425030752,889,889,889,889,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,19,1,0,0,1,9,7,1.0,0.7675942827481645,0.8140754261985317,510,510,510,510,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,20,1,0,0,1,21,21,1.0,0.03481570119717714,0.22785256095774173,860,860,860,860,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,21,1,0,0,1,5,1,1.0,0.9803000189631224,0.984240015170498,553,553,553,553,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,22,1,0,0,1,9,3,1.0,0.8857331247220546,0.9085864997776436,629,629,629,629,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,23,1,0,0,1,7,4,1.0,0.8424300452245413,0.8739440361796331,759,759,759,759,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,24,1,0,0,1,2,1,1.0,0.9902257869260329,0.9921806295408264,874,874,874,874,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,25,1,0,0,1,3,1,1.0,0.9306335622869607,0.9445068498295686,720,720,720,720,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,26,1,0,0,1,16,15,1.0,0.22897962279277734,0.3831836982342219,314,314,314,314,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,27,1,0,0,1,18,15,1.0,0.032505599139589,0.22600447931167122,602,602,602,602,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,28,1,0,0,1,7,4,1.0,0.7834838766608312,0.826787101328665,7,7,7,7,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,29,1,0,0,1,19,17,1.0,0.08127070718129281,0.2650165657450343,610,610,610,610,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,30,1,0,0,1,21,17,1.0,0.0035625922740761262,0.2028500738192609,823,823,823,823,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,31,1,0,0,1,23,20,1.0,0.05369334489076394,0.24295467591261116,905,905,905,905,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,32,1,0,0,1,5,1,1.0,0.9263003578830676,0.9410402863064542,748,748,748,748,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,33,1,0,0,1,7,5,1.0,0.8460922186964133,0.8768737749571307,586,586,586,586,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,11,34,1,0,0,1,6,3,1.0,0.7741653624939515,0.8193322899951612,93,93,93,93,0.4418793429212805,0.39745775789495746
0_0_0_10_14_16,-22.0,12,0,1,0,0,1,3,1,1.0,0.9388699752596891,0.9510959802077512,803,803,803,803,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,1,1,0,0,1,11,11,1.0,0.5452267220237323,0.636181377618986,711,711,711,711,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,2,1,0,0,1,8,6,1.0,0.6768074468088915,0.7414459574471133,871,871,871,871,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,3,1,0,0,1,21,19,1.0,0.024394452431637348,0.21951556194530988,691,691,691,691,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,4,1,0,0,1,7,7,1.0,0.7394832654087972,0.7915866123270379,107,107,107,107,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,5,1,0,0,1,1,1,1.0,0.9958854245081254,0.9967083396065004,468,468,468,468,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,6,1,0,1,4,19,18,0.8954330885031726,0.054195512992861794,0.22244302809492397,90,89,89,90,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,7,1,0,0,1,4,1,1.0,0.9737240553725848,0.9789792442980678,713,713,713,713,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,8,1,0,0,1,2,1,1.0,0.9942130717721999,0.99537045741776,865,865,865,865,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,9,1,0,0,1,23,18,1.0,0.012435184397059651,0.20994814751764773,492,492,492,492,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,10,1,0,0,1,16,9,1.0,0.3484714871427669,0.4787771897142135,765,765,765,765,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,11,1,0,0,1,10,8,1.0,0.7465657720380214,0.7972526176304171,1023,1023,1023,1023,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,12,1,0,1,3,19,19,0.9777979005478572,0.25575594142810454,0.4001643332520551,601,597,597,601,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,13,1,0,0,1,6,1,1.0,0.9325397179524999,0.9460317743619999,562,562,562,562,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,14,1,0,0,1,4,1,1.0,0.9416349029030158,0.9533079223224126,478,478,478,478,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,15,1,0,0,1,21,19,1.0,0.021031101800835006,0.21682488144066803,267,267,267,267,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,16,1,0,0,1,1,1,1.0,0.9995176171643575,0.9996140937314861,917,917,917,917,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,17,1,0,0,1,20,18,1.0,0.09680722221610133,0.2774457777728811,656,656,656,656,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,18,1,0,0,1,18,14,1.0,0.19133652085110048,0.3530692166808804,889,889,889,889,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,19,1,0,0,1,12,12,1.0,0.7435024655273048,0.7948019724218438,510,510,510,510,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,20,1,0,0,1,20,16,1.0,0.040831052540975965,0.2326648420327808,860,860,860,860,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,21,1,0,0,1,7,2,1.0,0.8240974262262145,0.8592779409809717,553,553,553,553,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,22,1,0,0,1,3,1,1.0,0.9585155710929767,0.9668124568743814,629,629,629,629,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,23,1,0,0,1,7,2,1.0,0.8398025716435632,0.8718420573148506,759,759,759,759,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,24,1,0,0,1,7,5,1.0,0.769862508498645,0.8158900067989161,874,874,874,874,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,25,1,0,0,1,20,15,1.0,0.10551177306813675,0.2844094184545094,720,720,720,720,0.8377899376251581,0.6153595966420867
0_0_0_10_14_16,-22.0,12,26,1,0,0,1,6,4,1.0,0.7900706601076282,0.8320565280861025,314,314,314,314,0.8377899376251581,0.6153595966420867
