payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index,packet_timing_tau0,packet_timing_slope
31,928,928,928,1,1,0,1,1,1,1,1,0.09357118342727871,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
32,744,744,744,1,1,0,1,1,1,1,1,0.06203577105086609,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
33,586,586,586,1,1,0,1,1,1,1,1,0.08786564373877291,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
34,91,91,91,1,1,0,1,1,1,1,1,0.050492259079712346,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
0,803,803,803,1,1,0,1,1,1,1,1,0.12982984768107708,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
1,711,711,711,1,1,0,1,1,1,1,1,0.05391104493323275,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
2,871,871,871,1,1,0,1,1,1,1,1,0.07143814408861764,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
3,718,718,718,1,1,0,1,1,1,1,1,0.10120640483997285,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
4,86,86,86,1,1,0,1,1,1,1,1,0.041670925886953335,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
5,467,467,467,1,1,0,1,1,1,1,1,0.08957755586777305,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
6,89,89,89,1,1,0,1,1,1,1,1,0.12664018874076347,packet_tau0_slope0,packet_timing,0_0_0_10_14_8,-24.0,2,0.0,0.0
