dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,savaux_top1_raw_bin,phase_line_raw_bin,gt_symbol,savaux_top1_symbol,phase_line_symbol,gt_in_stage1_top40_raw,gt_in_actual_viterbi_candidates_raw,stage1_topk_size,actual_viterbi_candidate_count,effective_top_l,hard_anchor,high_confidence,pre_hard_anchor_count,hard_anchor_rmse_pi,category,gt_local_score,selected_local_score,local_score_delta_gt_minus_selected,lock_active
0_0_0_10_14_16,-26.0,42,2,27,602,365,365,601,364,364,0,0,40,16,16,0,0,2,4.9977595182166055e-17,D_stage1_top40_miss,,0.9857529640774463,,0
0_0_0_10_14_16,-26.0,42,2,28,7,650,7,6,649,6,1,1,40,16,16,0,0,2,4.9977595182166055e-17,B_savaux_wrong_phase_rescue,0.8601544181132814,0.8601544181132814,0.0,0
0_0_0_10_14_16,-26.0,42,2,29,610,174,610,609,173,609,1,1,40,16,16,0,0,2,4.9977595182166055e-17,B_savaux_wrong_phase_rescue,1.016891322990775,1.016891322990775,0.0,0
0_0_0_10_14_16,-26.0,42,2,30,775,775,775,774,774,774,1,1,40,16,16,0,0,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.0322237715255256,1.0322237715255256,0.0,0
0_0_0_10_14_16,-26.0,42,2,31,912,912,912,911,911,911,1,1,40,16,16,0,0,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,1.0543262467537682,1.0543262467537682,0.0,0
0_0_0_10_14_16,-26.0,42,2,32,768,768,768,767,767,767,1,1,40,4,16,0,1,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,0.8921544447249483,0.8921544447249483,0.0,1
0_0_0_10_14_16,-26.0,42,2,33,581,581,581,580,580,580,1,1,40,4,16,1,1,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,0.8948730027625068,0.8948730027625068,0.0,1
0_0_0_10_14_16,-26.0,42,2,34,93,93,93,92,92,92,1,1,40,16,16,0,0,2,4.9977595182166055e-17,A_savaux_ok_phase_ok,0.8845260017389416,0.8845260017389416,0.0,0
0_0_0_10_14_16,-26.0,42,3,0,222,685,685,221,684,684,1,1,40,16,16,0,0,1,inf,E1_gt_in_candidates_local_score_loss,0.6138602046008915,0.8947291678367765,-0.28086896323588495,0
0_0_0_10_14_16,-26.0,42,3,1,711,323,323,710,322,322,1,0,40,16,16,0,0,1,inf,E0_gt_in_top40_but_not_actual_candidates,,0.8865457664554408,,0
0_0_0_10_14_16,-26.0,42,3,2,871,1004,1004,870,1003,1003,1,1,40,16,16,0,0,1,inf,E1_gt_in_candidates_local_score_loss,0.7460353741219653,0.8790740599089268,-0.13303868578696154,0
0_0_0_10_14_16,-26.0,42,3,3,718,604,604,717,603,603,1,1,40,16,16,0,0,1,inf,E1_gt_in_candidates_local_score_loss,0.676040486813886,0.894130121074853,-0.21808963426096706,0
0_0_0_10_14_16,-26.0,42,3,4,107,107,107,106,106,106,1,1,40,16,16,0,0,1,inf,A_savaux_ok_phase_ok,0.8935987397044527,0.8935987397044527,0.0,0
0_0_0_10_14_16,-26.0,42,3,5,468,693,693,467,692,692,1,0,40,16,16,0,0,1,inf,E0_gt_in_top40_but_not_actual_candidates,,0.8806764481907402,,0
0_0_0_10_14_16,-26.0,42,3,6,89,752,752,88,751,751,0,0,40,16,16,0,0,1,inf,D_stage1_top40_miss,,0.88446033887612,,0
0_0_0_10_14_16,-26.0,42,3,7,713,602,602,712,601,601,0,0,40,16,16,0,0,1,inf,D_stage1_top40_miss,,1.0376272619815492,,0
0_0_0_10_14_16,-26.0,42,3,8,865,85,865,864,84,864,1,1,40,16,16,0,0,1,inf,B_savaux_wrong_phase_rescue,0.9624639567304529,0.9624639567304529,0.0,0
0_0_0_10_14_16,-26.0,42,3,9,492,527,492,491,526,491,1,1,40,16,16,0,0,1,inf,B_savaux_wrong_phase_rescue,0.9914228662258896,0.9914228662258896,0.0,0
0_0_0_10_14_16,-26.0,42,3,10,765,765,765,764,764,764,1,1,40,16,16,0,0,1,inf,A_savaux_ok_phase_ok,1.0389907679001915,1.0389907679001915,0.0,0
0_0_0_10_14_16,-26.0,42,3,11,1023,1023,1023,1022,1022,1022,1,1,40,4,16,0,1,1,inf,A_savaux_ok_phase_ok,1.0018217590104175,1.0018217590104175,0.0,1
0_0_0_10_14_16,-26.0,42,3,12,597,597,597,596,596,596,1,1,40,16,16,0,0,1,inf,A_savaux_ok_phase_ok,1.02188304374292,1.02188304374292,0.0,0
0_0_0_10_14_16,-26.0,42,3,13,562,562,562,561,561,561,1,1,40,16,16,0,0,1,inf,A_savaux_ok_phase_ok,1.0440025223817972,1.0440025223817972,0.0,0
0_0_0_10_14_16,-26.0,42,3,14,478,478,478,477,477,477,1,1,40,4,16,0,1,1,inf,A_savaux_ok_phase_ok,1.0282470828555776,1.0282470828555776,0.0,1
0_0_0_10_14_16,-26.0,42,3,15,267,455,455,266,454,454,1,1,40,4,16,0,1,1,inf,E1_gt_in_candidates_local_score_loss,0.7339199678430279,0.8993746068887939,-0.16545463904576596,1
0_0_0_10_14_16,-26.0,42,3,16,917,501,917,916,500,916,1,1,40,16,16,0,0,1,inf,B_savaux_wrong_phase_rescue,0.9796107502718133,0.9796107502718133,0.0,0
0_0_0_10_14_16,-26.0,42,3,17,656,656,656,655,655,655,1,1,40,4,16,0,1,1,inf,A_savaux_ok_phase_ok,1.025471301198007,1.025471301198007,0.0,1
0_0_0_10_14_16,-26.0,42,3,18,889,177,177,888,176,176,1,0,40,4,16,0,1,1,inf,E3_lock_or_high_conf_removed_gt,,0.8980113028271152,,1
0_0_0_10_14_16,-26.0,42,3,19,510,510,510,509,509,509,1,1,40,4,16,0,1,1,inf,A_savaux_ok_phase_ok,1.0346280824033816,1.0346280824033816,0.0,1
0_0_0_10_14_16,-26.0,42,3,20,860,860,860,859,859,859,1,1,40,4,16,0,1,1,inf,A_savaux_ok_phase_ok,1.008707416930701,1.008707416930701,0.0,1
0_0_0_10_14_16,-26.0,42,3,21,553,553,553,552,552,552,1,1,40,4,16,0,1,1,inf,A_savaux_ok_phase_ok,1.010604017152087,1.010604017152087,0.0,1
0_0_0_10_14_16,-26.0,42,3,22,629,967,967,628,966,966,0,0,40,16,16,0,0,1,inf,D_stage1_top40_miss,,0.9029587315768325,,0
0_0_0_10_14_16,-26.0,42,3,23,759,879,691,758,878,690,0,0,40,16,16,0,0,1,inf,D_stage1_top40_miss,,0.9589983925497033,,0
0_0_0_10_14_16,-26.0,42,3,24,874,874,874,873,873,873,1,1,40,4,16,0,1,1,inf,A_savaux_ok_phase_ok,0.8828787939455125,0.8828787939455125,0.0,1
0_0_0_10_14_16,-26.0,42,3,25,720,306,306,719,305,305,1,1,40,16,16,0,0,1,inf,E1_gt_in_candidates_local_score_loss,0.8116745431123843,0.9915298744318211,-0.17985533131943676,0
0_0_0_10_14_16,-26.0,42,3,26,314,314,314,313,313,313,1,1,40,16,16,0,0,1,inf,A_savaux_ok_phase_ok,1.0559165359582745,1.0559165359582745,0.0,0
0_0_0_10_14_16,-26.0,42,3,27,602,602,602,601,601,601,1,1,40,16,16,0,0,1,inf,A_savaux_ok_phase_ok,0.9627718174091289,0.9627718174091289,0.0,0
0_0_0_10_14_16,-26.0,42,3,28,7,7,7,6,6,6,1,1,40,4,16,0,1,1,inf,A_savaux_ok_phase_ok,0.8772825643726447,0.8772825643726447,0.0,1
0_0_0_10_14_16,-26.0,42,3,29,610,635,635,609,634,634,1,1,40,4,16,0,1,1,inf,E1_gt_in_candidates_local_score_loss,0.5566753238832011,0.8772644822510665,-0.3205891583678654,1
0_0_0_10_14_16,-26.0,42,3,30,778,891,6,777,890,5,0,0,40,16,16,0,0,1,inf,D_stage1_top40_miss,,0.9059037941002068,,0
0_0_0_10_14_16,-26.0,42,3,31,897,897,897,896,896,896,1,1,40,16,16,0,0,1,inf,A_savaux_ok_phase_ok,0.9067412866338813,0.9067412866338813,0.0,0
0_0_0_10_14_16,-26.0,42,3,32,740,803,803,739,802,802,1,1,40,16,16,0,0,1,inf,E1_gt_in_candidates_local_score_loss,0.8097391092878997,0.9077703795826734,-0.09803127029477365,0
0_0_0_10_14_16,-26.0,42,3,33,590,104,104,589,103,103,1,1,40,4,16,0,1,1,inf,E1_gt_in_candidates_local_score_loss,0.8097344114846589,0.8984178698529975,-0.08868345836833869,1
0_0_0_10_14_16,-26.0,42,3,34,930,930,930,929,929,929,1,1,40,4,16,1,1,1,inf,A_savaux_ok_phase_ok,0.8854664416898514,0.8854664416898514,0.0,1
0_0_0_10_14_16,-26.0,42,5,0,222,222,222,221,221,221,1,1,40,16,16,0,0,4,0.41464701669611376,A_savaux_ok_phase_ok,1.0423698430775743,1.0423698430775743,0.0,0
0_0_0_10_14_16,-26.0,42,5,1,826,543,543,825,542,542,1,0,40,16,16,0,0,4,0.41464701669611376,E0_gt_in_top40_but_not_actual_candidates,,1.006543582358949,,0
0_0_0_10_14_16,-26.0,42,5,2,871,775,775,870,774,774,1,0,40,16,16,0,0,4,0.41464701669611376,E0_gt_in_top40_but_not_actual_candidates,,1.0044019576575076,,0
0_0_0_10_14_16,-26.0,42,5,3,718,718,718,717,717,717,1,1,40,4,16,1,1,4,0.41464701669611376,A_savaux_ok_phase_ok,0.8993688870599597,0.8993688870599597,0.0,1
