packet_index,event_index,symbol_index,selected_bin,signed_bin,symbol_value,phase_at_bin,phase_predicted,phase_residual_rad,phase_score,margin,confidence,amplitude,energy_ratio,argmax_bin,argmax_is_selected,rank_by_amp,gt_bin,is_correct
2,2,4,724,-300,723,2.821323,2.572807,0.248516,0.969279,0.016438,0.4144,10.231540,0.006835,724,1,0,86,0
2,2,5,109,109,108,2.536825,2.640817,-0.103992,0.978587,0.038734,0.4402,9.934575,0.006671,75,0,1,468,0
2,2,6,503,503,502,2.354122,2.331573,0.022549,0.999746,0.051114,0.4636,11.326330,0.008408,503,1,0,89,0
2,2,7,786,-238,785,1.953463,2.171419,-0.217955,0.914946,0.002751,0.3763,8.881712,0.005021,376,0,4,713,0
2,2,8,946,-78,945,2.409882,1.668966,0.740916,0.737850,-0.202666,0.3052,10.010180,0.006717,946,1,0,865,0
2,2,9,461,461,460,2.331662,2.227179,0.104483,0.960608,0.033967,0.4276,9.668693,0.006257,1000,0,1,492,0
2,2,10,268,268,267,2.140103,2.253441,-0.113338,0.954676,0.002130,0.3947,10.211815,0.007109,985,0,2,765,0
2,2,11,953,-71,952,2.182204,2.061882,0.120322,0.931509,0.022947,0.4016,7.874262,0.004030,61,0,24,1023,0
2,2,12,701,-323,700,2.010464,2.103984,-0.093519,0.976882,0.000917,0.4001,9.211198,0.005598,499,0,4,597,0
2,2,13,562,-462,561,1.142646,1.838724,-0.696078,0.767363,-0.153684,0.3176,10.476027,0.007133,562,1,0,562,1
2,2,14,248,248,247,0.189336,0.970906,-0.781570,0.709808,-0.213047,0.2982,12.532948,0.009548,248,1,0,478,0
2,2,15,208,208,207,-0.660282,-0.678482,0.018200,0.912680,0.002423,0.3721,6.932554,0.003097,906,0,40,267,0
2,2,16,336,336,335,-1.661252,-1.528100,-0.133152,0.963009,0.070894,0.4670,10.917430,0.007296,377,0,2,917,0
2,2,17,103,103,102,-2.689602,-2.614563,-0.075040,0.947103,0.020609,0.4065,8.612817,0.004668,29,0,8,656,0
2,2,18,551,-473,550,2.861799,-3.690572,0.269186,0.914405,0.004350,0.3783,8.988972,0.005450,382,0,4,889,0
2,2,19,49,49,48,1.707728,1.860829,-0.153101,0.941134,0.003631,0.3871,8.335646,0.004656,671,0,11,510,0
2,2,20,833,-191,832,0.676668,0.679378,-0.002709,0.986309,0.067980,0.4722,10.128739,0.006492,940,0,1,860,0
2,2,21,558,-466,557,-0.051759,-0.354391,0.302632,0.888897,0.002731,0.3657,8.757114,0.004923,232,0,7,553,0
2,2,22,691,-333,690,-0.994293,-1.082818,0.088525,0.958140,0.001585,0.3919,8.578356,0.004714,752,0,7,629,0
2,2,23,530,-494,529,-2.057415,-1.936826,-0.120589,0.958730,0.029233,0.4225,9.704766,0.006486,980,0,3,759,0
2,2,24,39,39,38,-3.042931,-2.999949,-0.042982,0.970510,0.047987,0.4438,8.797506,0.005105,443,0,4,874,0
2,2,25,756,-268,755,2.237521,-4.028447,-0.017217,0.921213,0.019740,0.3939,7.634908,0.003790,321,0,26,720,0
2,2,26,144,144,143,1.042144,1.234787,-0.192643,0.926816,0.007103,0.3839,7.840263,0.004058,166,0,16,314,0
2,2,27,385,385,384,-0.232268,0.039411,-0.271678,0.919935,0.002670,0.3779,8.670808,0.004828,552,0,11,602,0
2,2,28,258,258,257,-1.524086,-1.427644,-0.096442,0.910868,0.020194,0.3907,8.040343,0.004108,676,0,12,7,0
2,2,29,533,-491,532,-2.862854,-2.798498,-0.064357,0.947464,0.008294,0.3940,8.438067,0.004478,885,0,10,610,0
2,2,30,887,-137,886,1.850319,-4.154673,-0.278194,0.959415,0.001704,0.3945,9.678491,0.006045,259,0,1,775,0
2,2,31,268,268,267,0.077809,0.511550,-0.433741,0.907400,-0.019856,0.3741,10.802145,0.007416,268,1,0,912,0
2,2,32,802,-222,801,-0.893118,-1.492204,0.599085,0.825852,-0.066283,0.3458,12.377545,0.010289,802,1,0,768,0
2,2,33,867,-157,866,-2.490808,-2.463131,-0.027678,0.969077,0.065533,0.4626,9.619106,0.006279,692,0,1,581,0
2,2,34,606,-418,605,2.407743,-4.088498,0.213056,0.939486,0.002377,0.3865,9.392129,0.005573,93,0,5,93,0
3,3,0,258,258,257,-2.964848,1.921517,1.396820,1.000000,0.145675,0.5576,11.016237,0.007950,258,1,0,222,0
3,3,1,306,306,305,-2.908461,-2.983036,0.074575,0.997221,0.137584,0.5464,10.066528,0.006639,306,1,0,711,0
