dataset,snr_db,seed,packet_index,payload_symbol_index,scope,dimension,snapshots,diagonal_loading,diagonal_cv,mean_abs_correlation,max_abs_correlation,condition_number
0_0_0_10_14_32,-26.0,42,4,3,symbol_null,4,1000,0.05,0.019412431981176526,0.03270497620501823,0.05327109331473587,1.1817923471440914
0_0_0_10_14_32,-26.0,42,4,4,symbol_null,4,1000,0.05,0.007131654050866866,0.03118959194640401,0.045108517969592185,1.1564369730286372
0_0_0_10_14_32,-26.0,42,4,5,symbol_null,4,1000,0.05,0.03302669775108273,0.030255078646812122,0.051801215142920534,1.208262774726023
0_0_0_10_14_32,-26.0,42,4,6,symbol_null,4,1000,0.05,0.017601514976328593,0.023214250727044278,0.06043779016087967,1.1642814879259902
0_0_0_10_14_32,-26.0,42,4,7,symbol_null,4,1000,0.05,0.02314323317184623,0.028754189436741618,0.05549588376078682,1.1811023884198613
0_0_0_10_14_32,-26.0,42,4,8,symbol_null,4,1000,0.05,0.014763697476547216,0.03537482990219585,0.05583509855002035,1.2168494634286282
0_0_0_10_14_32,-26.0,42,4,9,symbol_null,4,1000,0.05,0.026429812786519808,0.028345642530025934,0.04349078282366864,1.158338955461536
0_0_0_10_14_32,-26.0,42,4,10,symbol_null,4,1000,0.05,0.029909263960275514,0.03298607931397961,0.05213067462039357,1.1865988393226796
0_0_0_10_14_32,-26.0,42,4,11,symbol_null,4,1000,0.05,0.01977012470855679,0.02838524391450591,0.04449590463924629,1.1674228967302358
0_0_0_10_14_32,-26.0,42,4,12,symbol_null,4,1000,0.05,0.03084915755341144,0.023742379521731166,0.04214008767946673,1.1597121155534944
0_0_0_10_14_32,-26.0,42,4,13,symbol_null,4,1000,0.05,0.02342254172984329,0.033424216009183064,0.05183830846996224,1.1975661643735651
0_0_0_10_14_32,-26.0,42,4,14,symbol_null,4,1000,0.05,0.01277644594893825,0.027711342268177116,0.05627379601696965,1.1709477298559625
0_0_0_10_14_32,-26.0,42,4,15,symbol_null,4,1000,0.05,0.014439996328917645,0.02694647632406987,0.046048613997815804,1.1517637265713152
0_0_0_10_14_32,-26.0,42,4,16,symbol_null,4,1001,0.05,0.04668723859338349,0.023311190385289688,0.04199047736393137,1.2045373228489997
