packet_index,event_index,candidate_index,selected,candidate_values,candidate_payload_hex,score,signal_score,prior_score,score_mode,effective_kappa,kappa_source,kappa_source_line_rmse_pi,known_symbols,mean_phase_score,mean_amp_score,mean_profile_score,line_rmse_pi,line_r2,map_phase_ll,map_line_ll,map_amp_ll,map_profile_ll
1,1,48,0,6:30,404433221100300058303132333435363738393a3b3c3d3e3f4041424378563412,-0.127451531,-0.127451531,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.622833642,0.404063244,0.000000000,0.110385374,0.350384051,0.982669135,-0.067694060,-1.696358922,0.000000000
1,1,116,0,6:74,404433221100740058303132333435363738393a3b3c3d3e3f4041424378563412,-0.130394935,-0.130394935,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.613699262,0.435377227,0.000000000,0.110752097,0.462553649,0.909594096,-0.068144594,-1.618605810,0.000000000
1,1,226,0,6:e2,404433221100e20058303132333435363738393a3b3c3d3e3f4041424378563412,-0.135724221,-0.135724221,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.675683342,0.341699144,0.000000000,0.157181002,0.887144941,1.405466733,-0.137254819,-2.092317476,0.000000000
1,1,55,0,6:37,404433221100370058303132333435363738393a3b3c3d3e3f4041424378563412,-0.137224010,-0.137224010,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.618889179,0.383362922,0.000000000,0.162396514,0.719928506,0.951113429,-0.146514599,-1.508725340,0.000000000
1,1,151,0,6:97,404433221100970058303132333435363738393a3b3c3d3e3f4041424378563412,-0.141607878,-0.141607878,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.658234273,0.284668165,0.000000000,0.157440160,0.710131595,1.265874185,-0.137707800,-1.946112620,0.000000000
1,1,144,0,6:90,404433221100900058303132333435363738393a3b3c3d3e3f4041424378563412,-0.150504363,-0.150504363,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.662178736,0.305368486,0.000000000,0.131607501,0.311595888,1.297429891,-0.096225191,-2.133746203,0.000000000
1,1,102,0,6:66,404433221100660058303132333435363738393a3b3c3d3e3f4041424378563412,-0.150701179,-0.150701179,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.603837981,0.410002524,0.000000000,0.074357324,0.809998759,0.830703846,-0.030716732,-1.715093873,0.000000000
1,1,75,0,6:4b,4044332211004b0058303132333435363738393a3b3c3d3e3f4041424378563412,-0.155124491,-0.155124491,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.639422764,0.274070368,0.000000000,0.085841435,0.894820692,1.115382114,-0.040937511,-2.067506320,0.000000000
1,1,198,0,6:c6,404433221100c60058303132333435363738393a3b3c3d3e3f4041424378563412,-0.158233646,-0.158233646,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.643183075,0.311307767,0.000000000,0.071255060,0.782725898,1.145464602,-0.028207131,-2.152481154,0.000000000
1,1,22,0,6:16,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,-0.160248963,-0.160248963,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.615473703,0.413689473,0.000000000,0.115125553,0.639518111,0.923789625,-0.073632739,-1.771899997,0.000000000
