dataset,snr_db,seed,packet_index,payload_symbol_index,gt_bin,raw_fft_bin,is_gt,is_savaux,savaux_ok,candidate_rank,gt_savaux_rank,savaux_margin_db,distance_to_gt,distance_to_savaux,savaux_power,log_savaux_power,best_pattern_power,mean_pattern_power,coherent_pattern_power,whitened_pattern_power,stable_pattern_power,hybrid_mean_power,pattern_consistency,mean_gain_vs_savaux,coherent_gain_vs_savaux,whitened_gain_vs_savaux,stable_gain_vs_savaux,hybrid_gain_vs_savaux
0_0_0_10_14_16,-25.0,42,1,3,718,474,0,1,0,1,9,0.17931566496132373,244,0,0.49958930407036917,-0.6939689099463409,0.14316431286831463,0.05552708281657083,0.04637131715019998,0.13502556372489918,0.4172128786312041,0.09616829721361075,0.8351117112235813,0.11114545960885827,0.09281887496868506,0.2702731275965834,0.8351117112235813,0.19249470801333463
0_0_0_10_14_16,-25.0,42,1,3,718,683,0,0,0,2,9,0.17931566496132373,35,209,0.479381825968094,-0.7352578676543668,0.15336387233825816,0.05877874512323997,0.03407589665159338,0.0993343860149568,0.2779127986501061,0.09933118666779518,0.5797316118291956,0.1226136285090459,0.07108299648777539,0.20721350004113037,0.5797316118291956,0.20720682613947555
0_0_0_10_14_16,-25.0,42,1,3,718,797,0,0,0,3,9,0.17931566496132373,79,323,0.45538147724086286,-0.786619799783418,0.12567320485205238,0.06366636261665401,0.043580045364984436,0.12652723938358423,0.3117116263736289,0.10411813235984267,0.6845065993071929,0.13980885433111118,0.09570008343122362,0.2778488930867532,0.6845065993071929,0.2286393662533005
0_0_0_10_14_16,-25.0,42,1,3,718,5,0,0,0,4,9,0.17931566496132373,311,469,0.44953369659437215,-0.7995444632653249,0.07535795754359688,0.03620134478448464,0.017057171763956134,0.049660534386518,0.21180907842359056,0.06795698313830864,0.4711750866024896,0.08053088135270582,0.03794414499553598,0.11047121664680946,0.4711750866024896,0.15117216718823256
0_0_0_10_14_16,-25.0,42,1,3,718,232,0,0,0,5,9,0.17931566496132373,486,242,0.4180901829077044,-0.8720581211447345,0.14359694118479283,0.05253006990443516,0.037946531794464125,0.11094269592885057,0.3020188712393285,0.08823146220498591,0.7223773328971007,0.1256429164136376,0.09076159485629688,0.26535589799615494,0.7223773328971008,0.21103452272272913
0_0_0_10_14_16,-25.0,42,1,3,718,513,0,0,0,6,9,0.17931566496132373,205,39,0.4120536728179083,-0.8866016642876346,0.0587599134805231,0.037473022443581167,0.02332445486295516,0.06887323178290225,0.25647590362443456,0.06823818858805746,0.6224332424231891,0.09094209059541855,0.05660538032204977,0.16714626352411668,0.6224332424231891,0.16560509731996192
0_0_0_10_14_16,-25.0,42,1,3,718,277,0,0,0,7,9,0.17931566496132373,441,197,0.4116771170106439,-0.8875159334594174,0.08324976338415847,0.027027218499730193,0.013688166576398169,0.039149867167586436,0.20849740617553034,0.053393722051850556,0.5064585753260112,0.06565149575469702,0.03324976300794552,0.09509847778732432,0.5064585753260112,0.12969805667015022
0_0_0_10_14_16,-25.0,42,1,3,718,241,0,0,0,8,9,0.17931566496132373,477,233,0.4111147462300693,-0.8888829155438829,0.08528568113873147,0.03194445715378781,0.02038102789457596,0.059664604130451285,0.26229718258940665,0.06050446121618352,0.6380145324259887,0.07770204656174254,0.04957503490563257,0.14512883489968906,0.6380145324259887,0.14717171245013874
0_0_0_10_14_16,-25.0,42,1,4,107,624,0,1,0,1,2,0.536909649781057,507,0,0.6333689350540794,-0.45670219083233676,0.10566199837654734,0.05928930286482928,0.04535747990319893,0.13269228826157636,0.4845396615393082,0.10718806909986682,0.7650196192491449,0.09360942664446739,0.0716130479296812,0.2095023625531091,0.7650196192491449,0.16923480639402483
0_0_0_10_14_16,-25.0,42,1,4,107,107,1,0,0,2,2,0.536909649781057,0,507,0.5597135150518149,-0.5803302064193884,0.11749197710410314,0.07538379584609642,0.06370003131891092,0.1855118349609231,0.4729632945415626,0.12443711963897841,0.8450096019171138,0.13468282222757805,0.11380827799559914,0.3314406923759015,0.8450096019171138,0.22232287820932603
