method,packet_index,symbol_index,gt_bin,savaux_bin,proposal_bin,gt_savaux_rank,proposal_savaux_rank,savaux_correct,proposal_correct,savaux_margin_db,branch_color_mismatch,backend_ran,dataset,training_dataset,noise_mode,snr_db,seed,lora_guard_segments
information_8_conditional_lora,1,53,889,661,661,15,1,0,0,0.031213172987482773,1.3553198848643842,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,1,57,629,999,999,26,1,0,0,0.0632777253060107,0.3633312551852256,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,1,60,720,852,852,16,1,0,0,0.11446815505311117,1.0106922986109772,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,1,68,581,723,528,64,7,0,0,0.4433738939480586,0.2548009955777781,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-23.0,44,8
information_8_conditional_lora,0,1,826,1000,1012,48,3,0,0,0.11325523004019135,0.2511570761224134,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,0,11,1023,1021,1023,354,354,0,1,0.43925893819429895,0.5671592029328227,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,0,16,917,582,582,54,1,0,0,0.08217676852886865,0.903691935525216,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,0,17,656,581,580,14,2,0,0,0.09871312412453198,0.636942235498812,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,0,25,720,55,55,100,1,0,0,0.3143499163251628,0.34859323069567055,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,0,27,602,338,328,30,2,0,0,0.0873013209413316,0.15593238729252706,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,0,29,610,861,862,844,2,0,0,0.21389897940146504,0.710664795143626,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,1,50,267,700,267,33,33,0,1,0.08252638571305393,0.2629810915430277,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,1,53,889,661,661,17,1,0,0,0.029495850277189477,1.3575964656839445,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,1,57,629,999,999,29,1,0,0,0.06200732593058075,0.3626243910989437,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,1,60,720,852,852,16,1,0,0,0.11633047601985022,1.0073001961485426,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,1,64,610,781,610,2,2,0,1,0.12891893136174165,0.1461506986931438,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,1,68,581,723,528,145,7,0,0,0.4386468515678037,0.2550190433842717,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_conditional_lora,0,1,826,1000,1012,86,3,0,0,0.10908241551879438,0.25142781489192545,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,0,10,765,947,765,4,4,0,1,0.1855121894422153,0.567557807967714,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,0,11,1023,1021,1023,584,584,0,1,0.41605579981345986,0.56788516605942,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,0,16,917,582,582,67,1,0,0,0.08183460678246211,0.9038840323356783,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,0,17,656,581,580,15,2,0,0,0.09670085520837977,0.6365808369257253,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,0,25,720,55,55,192,1,0,0,0.30746069733420933,0.34872746297274604,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,0,27,602,338,328,58,2,0,0,0.09116261054278,0.15587849625161598,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,0,29,610,861,862,870,2,0,0,0.21546309227313862,0.7107148621579511,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,1,38,718,718,718,1,1,1,1,0.4454292331044125,0.2057837623005234,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,1,50,267,700,267,54,54,0,1,0.08295556893897245,0.2630441237194884,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,1,53,889,661,661,17,1,0,0,0.027966586600508114,1.3594544715013017,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,1,57,629,999,999,30,1,0,0,0.060874574044983205,0.3620211372352188,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,1,59,874,1001,562,12,4,0,0,0.47996462715889254,0.12040122514606919,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,1,60,720,852,852,16,1,0,0,0.11799074026216386,1.0045429942533646,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,1,64,610,781,610,4,4,0,1,0.39546113036061525,0.14627252425897955,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
information_8_conditional_lora,1,68,581,723,528,245,7,0,0,0.434427684234899,0.2552020391684287,1,0_0_0_10_14_16,0_0_0_10_14_16,offpacket_bootstrap,-25.0,44,8
