dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_32,-16.0,7,0.1346938775510204,0.8653061224489795,0.8571428571428571,0.07755102040816327,0.9224489795918368,0.8571428571428571,0.07755102040816327,0.9224489795918368,0.8571428571428571,0.05714285714285715,0.0,0.0,0.0,0.7551020408163266,0.0,0.7999999999999999,0.8951447261369861,0.4472470562336702
0_0_0_10_14_32,-17.0,7,0.15102040816326529,0.8489795918367348,0.5714285714285714,0.09387755102040816,0.9061224489795919,0.8571428571428571,0.09795918367346938,0.9020408163265305,0.8571428571428571,0.0530612244897959,0.2857142857142857,-0.004081632653061218,0.0,0.7387755102040817,0.0,0.7815126050420168,0.8968554176679134,0.44387641466763583
0_0_0_10_14_32,-18.0,7,0.18367346938775506,0.8163265306122449,0.0,0.1142857142857143,0.8857142857142858,0.8571428571428571,0.1142857142857143,0.8857142857142858,0.8571428571428571,0.06938775510204076,0.8571428571428571,0.0,0.0,0.7428571428571429,0.0,0.7795918367346939,0.8146716077284374,0.44138545579926397
0_0_0_10_14_32,-19.0,7,0.2653061224489796,0.7346938775510203,0.0,0.11836734693877551,0.8816326530612244,0.8571428571428571,0.12244897959183673,0.8775510204081632,0.8571428571428571,0.14285714285714288,0.8571428571428571,-0.004081632653061218,0.0,0.7183673469387755,0.0,0.9142857142857144,0.8722441617941824,0.4146103024875462
0_0_0_10_14_32,-20.0,7,0.3959183673469387,0.6040816326530614,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.1346938775510204,0.8653061224489795,0.8571428571428571,0.2612244897959183,0.8571428571428571,0.008163265306122436,0.1428571428571428,0.6408163265306123,0.0,0.889795918367347,0.8111216671276065,0.44372646586202646
0_0_0_10_14_32,-21.0,7,0.5428571428571428,0.4571428571428572,0.0,0.15918367346938772,0.8408163265306123,0.42857142857142855,0.14693877551020407,0.8530612244897959,0.5714285714285714,0.39591836734693875,0.5714285714285714,0.012244897959183654,0.14285714285714285,0.5428571428571429,0.0,0.8612244897959184,0.7896055738344021,0.44997361833432975
0_0_0_10_14_32,-22.0,7,0.673469387755102,0.32653061224489793,0.0,0.24489795918367346,0.7551020408163266,0.0,0.24081632653061222,0.7591836734693879,0.0,0.43265306122448977,0.0,0.004081632653061246,0.0,0.36326530612244895,0.0,0.8450606329488316,0.5186485030611131,0.4797345176308617
0_0_0_10_14_32,-23.0,7,0.7755102040816327,0.22448979591836737,0.0,0.34285714285714286,0.6571428571428573,0.0,0.34285714285714286,0.6571428571428573,0.0,0.4326530612244899,0.0,0.0,0.0,0.22040816326530613,0.0,0.7687861764216445,0.674904071501126,0.48131633083127373
0_0_0_10_14_32,-24.0,7,0.8530612244897959,0.14693877551020407,0.0,0.5142857142857143,0.48571428571428577,0.0,0.5061224489795919,0.4938775510204082,0.0,0.346938775510204,0.0,0.008163265306122436,0.0,0.1346938775510204,0.0,0.6828078901811621,0.494328875965858,0.5064807265707927
0_0_0_10_14_32,-25.0,7,0.8979591836734694,0.1020408163265306,0.0,0.6489795918367347,0.35102040816326535,0.0,0.6530612244897959,0.34693877551020413,0.0,0.24489795918367352,0.0,-0.004081632653061162,0.0,0.061224489795918366,0.0,0.5361003052247292,0.6085227755817222,0.4934007749998987
