dataset,packet_index,frame_index,event_index,payload_symbol_index,frame_symbol_index,source_start_sample,corrected_start_sample,gt_bin,clean_csv_margin_db,clean_recomputed_margin_db,waveform_source,gt_provenance,noise_covariance_source,noise_window_count,noise_windows_available,raw_noise_power,covariance_sample_count,segment_covariance_sample_count,savaux_bin,gt_match_savaux,savaux_correct,savaux_margin_db,savaux_fix_vs_savaux,savaux_break_vs_savaux,fixed_gls_bin,fixed_gls_correct,fixed_gls_margin_db,fixed_gls_fix_vs_savaux,fixed_gls_break_vs_savaux,segmented_gls_bin,segmented_gls_correct,segmented_gls_margin_db,segmented_gls_fix_vs_savaux,segmented_gls_break_vs_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux
0_0_0_10_14_16,2,1,2,10,18,4092285,4092287,765,22.619222921731517,20.634328264962207,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,765,1,1,20.634328264962207,0,0,765,1,18.14596862463435,0,0,765,1,6.951385929611426,0,0,765,1,17.695353988411846,0,0
0_0_0_10_14_16,2,1,2,11,19,4096381,4096383,1023,16.56702102953557,15.195823571192653,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,1023,1,1,15.195823571192653,0,0,1023,1,18.18700853883663,0,0,1023,1,7.363100517095489,0,0,1023,1,15.13555226137273,0,0
0_0_0_10_14_16,2,1,2,12,20,4100477,4100479,597,20.364914740032006,19.438904114335106,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,597,1,1,19.438904114335106,0,0,597,1,17.095735144090913,0,0,597,1,2.80391728461548,0,0,597,1,17.296073577842055,0,0
0_0_0_10_14_16,2,1,2,13,21,4104573,4104575,562,19.05708434888907,18.13824966599371,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,562,1,1,18.13824966599371,0,0,562,1,19.19318680551223,0,0,562,1,8.333443817850743,0,0,562,1,16.26102963419398,0,0
0_0_0_10_14_16,2,1,2,14,22,4108669,4108671,478,18.891118293651218,17.85727837861234,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,478,1,1,17.85727837861234,0,0,478,1,17.512353506437016,0,0,478,1,8.803141806777429,0,0,478,1,16.340675745243903,0,0
0_0_0_10_14_16,2,1,2,15,23,4112765,4112767,267,17.970448268140025,17.943509117712587,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,267,1,1,17.943509117712587,0,0,267,1,18.37907082577842,0,0,267,1,11.620066507788643,0,0,267,1,15.67666669178587,0,0
0_0_0_10_14_16,2,1,2,16,24,4116861,4116863,917,15.079939501059528,13.491585160832978,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,917,1,1,13.491585160832978,0,0,917,1,13.262753320894236,0,0,917,1,10.197224848767615,0,0,917,1,15.087880455286527,0,0
0_0_0_10_14_16,2,1,2,17,25,4120958,4120960,656,14.343953695795937,14.813131026660862,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,656,1,1,14.813131026660862,0,0,656,1,11.954274109149956,0,0,656,1,8.95286025731499,0,0,656,1,12.300764022748986,0,0
0_0_0_10_14_16,2,1,2,18,26,4125054,4125056,889,19.506376209814043,19.34039637785778,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,889,1,1,19.34039637785778,0,0,889,1,12.701061102935672,0,0,889,1,0.501748995101965,0,0,889,1,14.055466496841396,0,0
0_0_0_10_14_16,2,1,2,19,27,4129150,4129152,510,14.723119940262496,13.691086352932588,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,1828,1.011243897608517e-05,128,128,510,1,1,13.691086352932588,0,0,510,1,16.724779133923693,0,0,510,1,15.50255914895753,0,0,510,1,11.861773809799717,0,0
