packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
1,1,1,30,3058306,3058308,2,11,4,continuous,857,857,214,857,857,214,857,857,214,1,1,1,1,1,1,12772.365944445133,99.28950123526101,14.277761519923684,113.86028099523548
1,1,1,31,3066498,3066500,2,11,4,continuous,933,933,233,933,933,233,933,933,233,1,1,1,1,1,1,12855.572206177749,99.66672102198936,14.041628131746952,114.81321463569842
1,1,1,32,3074690,3074692,2,11,4,continuous,1609,-439,402,1609,-439,402,1609,-439,402,1,1,1,1,1,1,12532.36793223396,97.71011861637908,10.652720628695953,117.39834808854062
1,1,1,33,3082882,3082884,2,11,4,continuous,321,321,80,321,321,80,321,321,80,1,1,1,1,1,1,12210.518090765981,95.09439592835497,9.942800503393473,118.05218933022506
1,1,1,34,3091074,3091076,2,11,4,continuous,1933,-115,483,1933,-115,483,1933,-115,483,1,1,1,1,1,1,11492.207390631607,89.27075816929937,8.24938036937458,117.44857032498273
1,1,1,35,3099266,3099268,2,11,4,continuous,1741,-307,435,1741,-307,435,1741,-307,435,1,1,1,1,1,1,11907.934269349149,92.77323720673394,9.262893515767535,116.36755932907214
1,1,1,36,3107458,3107460,2,11,4,continuous,1369,-679,342,1369,-679,342,1369,-679,342,1,1,1,1,1,1,12417.066642735212,96.56383085617654,11.150923000021058,115.49753975031673
1,1,1,37,3115650,3115652,2,11,4,continuous,981,981,245,981,981,245,981,981,245,1,1,1,1,1,1,12292.747934069717,95.3345587870217,11.688445059001973,114.75055965640418
1,1,1,38,3123842,3123844,2,11,4,continuous,945,945,236,945,945,236,945,945,236,1,1,1,1,1,1,12022.983965547988,93.71907886103236,11.750963698485526,112.45314481403464
1,1,1,39,3132034,3132036,2,11,4,continuous,1513,-535,378,1513,-535,378,1513,-535,378,1,1,1,1,1,1,11749.46206544299,91.05707702055588,9.90916602230393,112.64454206316331
