dataset,snr_db,seed,packet_index,payload_symbol_index,gt_bin,raw_fft_bin,is_gt,is_savaux,savaux_ok,candidate_rank,gt_savaux_rank,savaux_margin_db,distance_to_gt,distance_to_savaux,savaux_power,log_savaux_power,best_pattern_power,mean_pattern_power,coherent_pattern_power,whitened_pattern_power,stable_pattern_power,hybrid_mean_power,pattern_consistency,mean_gain_vs_savaux,coherent_gain_vs_savaux,whitened_gain_vs_savaux,stable_gain_vs_savaux,hybrid_gain_vs_savaux
0_0_0_10_14_8,-24.0,1,0,2,922,478,0,0,1,15,1,5.653455069994192,444,444,0.5392368700570707,-0.6176003425358279,0.189900226067393,0.057587448511689524,0.03694711659759819,0.1364650845048887,0.3459651022336634,0.10073740808623453,0.6415828023722633,0.10679434532285358,0.0685174153497476,0.2530707599620289,0.6415828023722633,0.18681476301049832
0_0_0_10_14_8,-24.0,1,0,2,922,430,0,0,1,16,1,5.653455069994192,492,492,0.5391050448943169,-0.6178448385747608,0.14666368651589146,0.056528189356707115,0.03879299229039834,0.14613820617923742,0.36996581861716193,0.09933839872368798,0.6862592404225932,0.10485561189246259,0.07195813257136761,0.27107556785688314,0.6862592404225932,0.18426538513131838
0_0_0_10_14_8,-24.0,1,0,3,718,718,1,1,1,1,1,1.6977301606790984,0,0,1.1793438825681193,0.16495825211267576,0.3164411618138118,0.10820387873433902,0.08563605138393901,0.30123712469333536,0.9333709152413826,0.1966039488006958,0.791432362551362,0.09174921779279177,0.07261330019998866,0.25542772481031273,0.791432362551362,0.16670620987372603
0_0_0_10_14_8,-24.0,1,0,3,718,198,0,0,1,2,1,1.6977301606790984,504,504,0.7977511566951421,-0.2259585638779321,0.17222546567087993,0.08152425857469676,0.05461513991907503,0.20194663080383393,0.5344334533700626,0.14418895820838445,0.6699250121855914,0.10219259212663352,0.06846137352571213,0.25314489250061617,0.6699250121855913,0.1807442797146401
0_0_0_10_14_8,-24.0,1,0,3,718,501,0,0,1,3,1,1.6977301606790984,217,217,0.7607820419534086,-0.27340837219172553,0.24455442026308877,0.07071576317553566,0.0396680183814964,0.14009108100018544,0.42676080507833086,0.1280714237972618,0.5609501559507977,0.0929514095705566,0.05214110769445019,0.18414088828974334,0.5609501559507977,0.16834180715993435
0_0_0_10_14_8,-24.0,1,0,3,718,627,0,0,1,4,1,1.6977301606790984,91,91,0.7604524683304739,-0.27384166978767555,0.17191874801755888,0.061377949532559,0.04170120567986822,0.1454489974783335,0.5166641282923683,0.11515354182891317,0.6794167286045797,0.08071240753194013,0.054837359883150395,0.19126638880883343,0.6794167286045797,0.15142766527107948
0_0_0_10_14_8,-24.0,1,0,3,718,903,0,0,1,5,1,1.6977301606790984,185,185,0.733619562333164,-0.3097646921833634,0.1840610320262034,0.0708002495382758,0.04534833096306677,0.16779754062666538,0.469891320025349,0.1270263494132959,0.6405108916819666,0.09650812651874563,0.06181450617107781,0.22872555373661402,0.6405108916819666,0.17315016656495386
0_0_0_10_14_8,-24.0,1,0,3,718,975,0,0,1,6,1,1.6977301606790984,257,257,0.671126692570656,-0.3987973482524089,0.20795965966338273,0.07046246879686571,0.04679623595263152,0.16987117665999632,0.44571533748250697,0.12378542716667756,0.6641299510458409,0.1049913072701209,0.06972787175754423,0.2531134263328564,0.6641299510458409,0.18444420187272684
0_0_0_10_14_8,-24.0,1,0,3,718,337,0,0,1,7,1,1.6977301606790984,381,381,0.6569051709354348,-0.42021560739078423,0.13822273465405882,0.049336198198892275,0.0265730021197883,0.10058995098674525,0.3538161256243521,0.09424317964068853,0.5386106568783999,0.07510398818848905,0.04045180841238968,0.1531270500481902,0.5386106568783999,0.14346542516400956
0_0_0_10_14_8,-24.0,1,0,3,718,398,0,0,1,8,1,1.6977301606790984,320,320,0.6326400528444687,-0.4578536554698103,0.18047111331741628,0.05287289182998568,0.03404885835036419,0.12615530138463443,0.4074048307274904,0.09833632394271384,0.6439757155679943,0.08357499907294712,0.05382026983159558,0.1994108669177939,0.6439757155679943,0.15543803067885953
0_0_0_10_14_8,-24.0,1,0,3,718,308,0,0,1,9,1,1.6977301606790984,410,410,0.6302732557092128,-0.46160181441325104,0.11792141792753966,0.050386490895512843,0.035246964550467316,0.13014177492774998,0.4408963336454259,0.0947584187410043,0.6995320357506029,0.0799438821798263,0.05592330664706024,0.20648468541047074,0.6995320357506029,0.15034497796416527
